Unit,Unit Scholar,Unit Scholar ID,Collab Scholar,Collab Scholar ID,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
"Management, Sloan School of","RAHMANDAD, HAZHIR",161522,"KELLY, ERIN L",476846,1,0,0,0,0,0,0
"Management, Sloan School of","RAHMANDAD, HAZHIR",161522,"PRELEC, DRAZEN",161067,1,0,0,0,0,0,0
"Management, Sloan School of","RAHMANDAD, HAZHIR",161522,"STERMAN, JOHN",87196,2,0,0,0,0,0,0
"Management, Sloan School of","RAHMANDAD, HAZHIR",161522,"WILMERS, NATHAN ERIC",845320,1,0,0,0,0,0,0
"Management, Sloan School of","RIGOBON, ROBERTO",162469,"LO, ANDREW W",62691,1,0,0,0,0,0,0
"Management, Sloan School of","ZUCKERMAN SIVAN, EZRA W",173824,"REAGANS, RAY",412311,0,0,0,1,0,0,0
"Management, Sloan School of","CHEN, HUI",176096,"KOGAN, LEONID",151064,1,0,0,0,0,0,0
"Management, Sloan School of","CHEN, HUI",176096,"WANG, JIANG",93970,1,0,0,0,0,0,0
"Management, Sloan School of","FARIAS, VIVEK F",176116,"AOUAD, MOHAMMED ALI LUCIEN",1508350,1,0,0,0,0,0,0
"Management, Sloan School of","FARIAS, VIVEK F",176116,"BERTSIMAS, DIMITRIS J",133474,2,0,0,0,0,0,0
"Management, Sloan School of","FARIAS, VIVEK F",176116,"LEVI, RETSEF",67313,4,0,0,1,0,0,0
"Management, Sloan School of","FARIAS, VIVEK F",176116,"PERAKIS, GEORGIA",91824,2,0,0,0,0,0,0
"Management, Sloan School of","WOLFRAM, CATHERINE DANA",203217,"JOHNSON, SIMON",62732,1,0,0,0,0,0,0
"Management, Sloan School of","SIEGEL, MICHAEL D",289340,"MADNICK, STUART E",72230,1,0,0,0,0,0,0
"Management, Sloan School of","TRICHAKIS, NIKOS",393251,"BERTSIMAS, DIMITRIS J",133474,5,0,0,0,0,0,0
"Management, Sloan School of","HANLON, MICHELLE",412310,"SHROFF, NEMIT",488091,1,0,0,0,0,0,0
"Management, Sloan School of","HANLON, MICHELLE",412310,"VERDI, RODRIGO",92221,1,0,0,0,0,0,0
"Management, Sloan School of","REAGANS, RAY",412311,"ZUCKERMAN SIVAN, EZRA W",173824,0,0,0,1,0,0,0
"Management, Sloan School of","MERTON, ROBERT",412353,"LO, ANDREW W",62691,1,0,0,0,0,0,0
"Management, Sloan School of","STERN, SCOTT",412354,"MURRAY, FIONA E",71669,1,0,1,1,0,0,0
"Management, Sloan School of","KELLY, ERIN L",476846,"RAHMANDAD, HAZHIR",161522,1,0,0,0,0,0,0
"Management, Sloan School of","KELLY, ERIN L",476846,"WILMERS, NATHAN ERIC",845320,1,0,0,0,0,0,0
"Management, Sloan School of","SHROFF, NEMIT",488091,"HANLON, MICHELLE",412310,1,0,0,0,0,0,0
