10.1021/ACS.JPCC.4C04668,165211,1907,412313,41851,Article
10.1007/JHEP11(2021)153,120362,1925,15477,1925,Article
10.1103/PHYSREVC.103.014902,836518,1925,15477,1925,Article
10.1038/S41598-023-39972-Z,544474,8952,289272,1900,Article
10.1007/JHEP03(2021)011,30783,1925,827695,1925,Article
10.1029/2020JC017091,289391,11918,288982,8964,Article
10.1109/JLT.2020.3041186,96690,1912,11597,43334,Article
10.1021/ACS.JCIM.3C00439,1092832,1909,7865,1909,Article
10.1109/OCEANS55160.2024.10754153,2157281,8964,287149,11918,Conference Proceeding
10.1016/J.CELREP.2023.113023,1850526,1904,94944,1904,Article
10.7554/ELIFE.78079,176367,8963,14958,1903,Article
10.1016/J.PHYSLETB.2023.137803,30783,1925,120362,1925,Article
10.1016/J.CELS.2022.11.005,632090,1903,370154,8962,Article
10.1016/J.PHYSLETB.2022.136888,827695,1925,30783,1925,Article
10.1103/PHYSREVLETT.131.061801,15477,1925,116604,1925,Article
10.1016/J.BIOMATERIALS.2023.122317,837032,1921,129009,1909,Article
10.1016/J.CITIES.2021.103345,56475,1929,130791,1929,Article
10.1126/SCIENCE.ADI5199,176373,1909,53694,1909,Article
10.1121/10.0032407,488109,11918,171439,1915,Article
10.1038/S41551-023-01082-6,83112,1921,8219,43334,Article
10.7185/GOLD2023.18511,488113,8964,289279,8964,Conference Proceeding
10.1016/J.CELREP.2023.113629,1275077,1904,1351825,1904,Article
10.1021/ACSNANO.4C07360,60109,1909,779118,1916,Article
10.1115/DETC2023-115270,12743,1922,1304710,1929,Conference Proceeding
10.1029/2020GB006706,544620,11918,289220,8964,Article
10.1007/JHEP10(2021)045,116604,1925,15477,1925,Article
10.1002/AELM.202400141,173103,1923,488102,1923,Article
10.1038/S41598-023-30900-9,289449,1916,43476,9852,Article
10.1103/PHYSREVX.13.041039,503306,1925,837222,1921,Article
10.15607/RSS.2024.XX.040,149514,43334,95122,43334,Conference Proceeding
10.1145/3448016.3457568,789742,43334,558331,43334,Conference Proceeding
10.1007/JHEP07(2021)208,827695,1925,15477,1925,Article
10.3847/1538-4357/AD3E83,503306,1925,67570,1925,Article
10.1007/JHEP11(2021)111,15477,1925,116604,1925,Article
10.1287/OPRE.2022.0291,1351842,1924,1084680,1924,Article
10.1007/JHEP07(2023)023,15477,1925,116604,1925,Article
10.1140/EPJC/S10052-020-08739-5,116604,1925,15477,1925,Article
10.1140/EPJC/S10052-021-09200-X,827695,1925,30783,1925,Article
10.1016/J.JCP.2021.110279,412328,1906,412297,1906,Article
10.1103/PHYSREVD.104.052004,15477,1925,827695,1925,Article
10.1109/JSSC.2022.3141366,19111,1912,779077,1912,Article
10.1126/SCIENCE.ADF1646,288857,11918,544619,8964,Article
10.1038/S41565-022-01243-9,158105,1907,1769725,1900,Article
10.1002/ADTP.202100235,115935,1903,60069,1903,Article
10.1088/1748-0221/17/03/P03014,15477,1925,627165,1925,Article
10.1093/RESTUD/RDAD111,286887,1911,159339,41570,Article
10.1073/PNAS.2121720119,779118,1909,287114,1909,Article
10.21428/E4BAEDD9.92E511E3,488102,1923,827387,1919,Article
10.1016/J.PHYSLETB.2024.138815,30783,1925,627165,1925,Article
10.1287/OPRE.2020.1999,159339,43334,488075,1908,Article
10.5194/ESSD-15-4023-2023,1108305,8964,1108304,8964,Article
10.1007/JHEP07(2021)027,30783,1925,15477,1925,Article
10.1088/1361-6382/AC011A,67570,1925,503306,1925,Article
10.1007/JHEP10(2024)061,116604,1925,30783,1925,Article
10.1109/QCE57702.2023.10185,827644,1925,412282,1925,Conference Proceeding
10.1038/S41597-022-01517-W,176116,1924,67313,1924,Article
10.1140/EPJC/S10052-022-11150-X,502057,1925,33722,1925,Article
10.1038/S41561-022-00958-7,175847,8952,1092447,11918,Article
10.1016/J.PHYSLETB.2022.137563,30783,1925,827695,1925,Article
10.1103/PHYSREVD.110.012004,116604,1925,627165,1925,Article
10.1109/ICCV48922.2021.00233,28679,9852,34370,9852,Conference Proceeding
10.1007/JHEP12(2024)172,120362,1925,30783,1925,Article
10.1016/J.PHYSLETB.2024.138964,627165,1925,15477,1925,Article
10.1257/AERI.20200590,286887,41570,20338,1911,Article
10.62056/A66CY7QIU,827651,8962,98082,9852,Article
10.1175/BAMS-D-21-0210.1,370216,11918,370228,11918,Article
10.1785/0220230010,544616,1914,288497,1914,Article
10.1038/S41597-021-00864-4,630714,1916,370156,41570,Article
10.1371/JOURNAL.PONE.0278412,12578,1922,176268,8963,Article
10.1017/PDS.2023.95,25387,41851,100078,1921,Article
10.1038/S41467-024-52212-W,919199,11918,175847,1908,Article
10.1140/EPJC/S10052-021-09236-Z,627165,1925,116604,1925,Article
10.1021/ACSAMI.1C01382,112857,1900,165211,1907,Article
10.1038/S41587-023-01833-5,488093,8963,863944,1912,Article
10.1145/3490099.3511160,845324,9852,43476,9852,Conference Proceeding
10.1021/JACS.4C11347,412267,1906,83112,1916,Article
10.1116/6.0002668,90491,1919,14212,1912,Article
10.1038/S41928-021-00685-8,488102,1923,113951,1912,Article
10.3389/FMARS.2022.1010319,544617,11918,287119,11918,Article
10.1126/SCIADV.ADG8495,412280,1921,370154,1909,Article
10.2514/6.2022-1078,138846,1900,29363,41851,Conference Proceeding
10.1038/S41586-023-05842-X,1108312,1925,1109714,1925,Article
10.1103/PHYSREVLETT.133.142301,627165,1925,827695,1925,Article
10.3389/FMARS.2024.1359149,208562,1901,370197,11918,Article
10.1016/J.IJPHARM.2024.124693,412328,41851,132426,1921,Article
10.1007/JHEP09(2024)186,827695,1925,627165,1925,Article
10.1364/CLEO_AT.2024.JTH2A.222,138781,1912,9467,1912,Conference Proceeding
10.1021/ACSEARTHSPACECHEM.2C00368,544631,8964,544620,11918,Article
10.2514/6.2023-1514,138846,1900,936750,1900,Conference Proceeding
10.1021/ACSNANO.2C06204,544459,1906,627128,1906,Article
10.1109/CDC45484.2021.9683517,50247,1921,26320,41570,Conference Proceeding
10.1126/SCIADV.ADG2239,83112,1916,827663,1904,Article
10.1029/2023JC020761,488108,8964,370199,8964,Article
10.1039/D0SC04823B,144767,41851,1092832,1909,Article
10.1016/J.STR.2024.04.015,112395,1904,827631,1903,Article
10.1007/JHEP03(2021)095,120362,1925,627165,1925,Article
10.1029/2024AV001241,171439,1910,176228,8962,Article
10.1029/2023JC020762,488115,11918,370202,11918,Article
10.1038/S41467-021-23350-2,288982,11918,287149,8964,Article
10.1073/PNAS.2113561119,122541,43334,67313,1924,Article
10.1038/S41586-022-05612-1,627127,1906,789790,1919,Article
10.1186/S12951-022-01539-X,1108308,1921,83112,1906,Article
10.1126/SCIADV.ADH8508,6075,1907,789755,1919,Article
10.1021/ACSMACROLETT.3C00006,412248,1906,488073,1907,Article
10.1103/PHYSREVLETT.128.252301,120362,1925,30783,1925,Article
10.1038/S41551-022-00863-9,779139,1904,83112,1916,Article
10.1007/JHEP07(2022)081,120362,1925,30783,1925,Article
10.1038/S41551-023-01082-6,83112,1921,412267,1916,Article
10.59275/J.MELBA.2022-16CC,144262,43334,112328,43334,Article
10.1145/3544216.3544223,789742,43334,4077,9852,Conference Proceeding
10.1126/SCIADV.ABJ6928,544465,1914,171439,1915,Article
10.1038/S43247-023-00848-9,287149,8964,288982,11918,Article
10.1002/LNO.12678,488120,11918,1332662,1901,Article
10.1038/S41563-023-01589-Y,106262,1906,113951,1912,Article
10.1103/PHYSREVLETT.132.261001,16275,1925,142162,1925,Article
10.1093/MNRAS/STAD328,1109714,1925,96133,1925,Article
10.1016/J.PHYSLETB.2023.137905,116604,1925,120362,1925,Article
10.3847/1538-4357/ABDCB7,67570,1925,544569,1925,Article
10.1016/J.CMA.2023.116591,33041,41851,412328,41851,Article
10.1021/JACSAU.2C00235,165211,1921,412313,1919,Article
10.14778/3611479.3611526,558331,43334,72171,9852,Article
10.1149/MA2024-01382300MTGABS,136907,1919,287251,1919,Article
10.1002/QJ.4211,175844,8952,120692,1915,Article
10.1016/J.SOFTX.2021.100665,544458,1906,412249,1907,Article
10.1016/J.ACTAMAT.2021.116730,412297,41851,114961,1921,Article
10.1073/PNAS.2113561119,91824,1918,60885,41570,Article
10.18653/V1/2022.NAACL-MAIN.311,104902,1925,1351835,43334,Conference Proceeding
10.2514/6.2022-0343,138846,41851,45488,1900,Conference Proceeding
10.1007/JHEP08(2023)204,627165,1925,827695,1925,Article
10.1021/ACS.JCIM.1C00284,1092832,1906,7865,43334,Article
10.1016/J.CHEMPR.2021.02.012,627131,1907,287081,41851,Article
10.1103/PHYSREVLETT.131.091803,15477,1925,827695,1925,Article
10.1007/JHEP09(2023)057,827695,1925,15477,1925,Article
10.1038/S41467-021-23802-9,488093,1919,435117,1908,Article
10.1126/SCIADV.ADN6857,176483,8952,1631695,8952,Article
10.1177/23998083231158377,544597,41570,169526,1926,Article
10.1002/ANIE.202315611,827668,1906,125401,1907,Article
10.1175/JPO-D-23-0097.1,208562,1901,1108287,11918,Article
10.7554/ELIFE.60824,176365,8963,176268,8963,Article
10.1021/JACSAU.1C00255,827387,41851,60109,1909,Article
10.1021/JACSAU.1C00260,135309,1921,412313,1919,Article
10.1103/PHYSREVD.109.112009,627165,1925,15477,1925,Article
10.1038/S41597-022-01517-W,133474,1918,122541,41570,Article
10.1039/D1TA07870D,14212,1912,135386,1921,Article
10.1093/MNRAS/STAD1850,779130,1925,627166,1925,Article
10.1140/EPJC/S10052-024-13114-9,15477,1925,30783,1925,Article
10.1126/SCIENCE.ABP8064,884356,1919,488102,1923,Article
10.1002/ADHM.202370148,7658,8962,145732,1906,Article
10.1371/JOURNAL.PONE.0278412,176373,1909,176268,8963,Article
10.1093/STCLTM/SZAD014,50517,1912,175857,1909,Article
10.1126/SCIADV.ADD4909,288857,11918,544618,11918,Article
10.1038/S41586-024-07371-7,261298,1912,1107894,1912,Article
10.1785/0220230010,288497,1914,287223,1914,Article
10.1021/ACSCENTSCI.3C01615,412249,1906,779104,1919,Article
10.1038/S41396-020-00845-2,544631,11918,488109,8964,Article
10.1126/SCIENCE.ADF1354,14772,1907,488074,1907,Article
10.1038/S42256-023-00719-0,789741,1924,544537,1921,Article
10.1103/PHYSREVD.104.122004,827691,1925,503306,1925,Article
10.1109/ISBI52829.2022.9761554,138781,41851,127691,1912,Conference Proceeding
10.1038/S41586-023-06393-X,412297,41851,412328,1906,Article
10.1007/JHEP05(2021)116,15477,1925,116604,1925,Article
10.1016/J.GLOPLACHA.2022.103888,287561,11918,287030,11918,Article
10.1007/JHEP07(2023)148,116604,1925,627165,1925,Article
10.1140/EPJC/S10052-021-09014-X,30783,1925,15477,1925,Article
10.1016/J.JOULE.2022.06.001,169255,43334,488080,9852,Article
10.1063/5.0093622,919224,1923,544582,1925,Article
10.1103/PHYSREVLETT.126.092001,1977480,1925,544556,1925,Article
10.1287/MNSC.2023.4833,67313,1924,96424,1924,Article
10.1103/PHYSREVD.104.032009,827695,1925,30783,1925,Article
10.1093/MNRAS/STAA3960,1109714,1925,289272,1910,Article
