diff_type,doi,focal_personid,focal_unitid,collab_personid,collab_unitid,collab_type
missing_from_ours,10.1007/JHEP12(2022)035,15477,8950,627165,8950,Article
missing_from_ours,10.1007/JHEP12(2022)035,15477,8950,827695,8950,Article
missing_from_ours,10.1007/JHEP12(2022)035,30783,8950,116604,8950,Article
missing_from_ours,10.1007/JHEP12(2022)035,30783,8950,120362,8950,Article
missing_from_ours,10.1007/JHEP12(2022)035,30783,8950,15477,8950,Article
missing_from_ours,10.1007/JHEP12(2022)035,30783,8950,627165,8950,Article
missing_from_ours,10.1007/JHEP12(2022)035,30783,8950,827695,8950,Article
missing_from_ours,10.1007/JHEP12(2022)035,627165,8950,116604,8950,Article
missing_from_ours,10.1007/JHEP12(2022)035,627165,8950,120362,8950,Article
missing_from_ours,10.1007/JHEP12(2022)035,627165,8950,15477,8950,Article
missing_from_ours,10.1007/JHEP12(2022)035,627165,8950,30783,8950,Article
missing_from_ours,10.1007/JHEP12(2022)035,627165,8950,827695,8950,Article
missing_from_ours,10.1007/JHEP12(2022)035,827695,8950,116604,8950,Article
missing_from_ours,10.1007/JHEP12(2022)035,827695,8950,120362,8950,Article
missing_from_ours,10.1007/JHEP12(2022)035,827695,8950,15477,8950,Article
missing_from_ours,10.1007/JHEP12(2022)035,827695,8950,30783,8950,Article
missing_from_ours,10.1007/JHEP12(2022)035,827695,8950,627165,8950,Article
missing_from_ours,10.1007/S11002-022-09617-8,627170,8933,9049,8933,Article
missing_from_ours,10.1007/S11002-022-09617-8,627170,8938,9049,8933,Article
missing_from_ours,10.1007/S11002-022-09617-8,627170,8954,9049,8933,Article
missing_from_ours,10.1007/S11002-022-09617-8,9049,8933,627170,8933,Article
missing_from_ours,10.1007/S11002-022-09617-8,9049,8933,627170,8938,Article
missing_from_ours,10.1007/S11002-022-09617-8,9049,8933,627170,8954,Article
missing_from_ours,10.1016/J.CBPA.2021.08.009,1092309,8932,1092832,8931,Article
missing_from_ours,10.1016/J.CBPA.2021.08.009,1092309,8932,1092832,8937,Article
missing_from_ours,10.1016/J.CBPA.2021.08.009,1092832,8931,1092309,8932,Article
missing_from_ours,10.1016/J.CBPA.2021.08.009,1092832,8937,1092309,8932,Article
missing_from_ours,10.1016/J.CHEMGEO.2021.120355,1108302,33836,1584403,33836,Article
missing_from_ours,10.1016/J.CHEMGEO.2021.120355,1584403,33836,1108302,33836,Article
missing_from_ours,10.1016/J.CHEMGEO.2021.120652,1108302,33836,1584403,33836,Article
missing_from_ours,10.1016/J.CHEMGEO.2021.120652,1584403,33836,1108302,33836,Article
missing_from_ours,10.1016/J.JBC.2024.107240,789733,8932,85646,8929,Article
missing_from_ours,10.1016/J.JBC.2024.107240,85646,8929,789733,8932,Article
missing_from_ours,10.1016/J.JCYT.2024.03.030,175857,8928,50517,8928,Article
missing_from_ours,10.1016/J.JCYT.2024.03.030,175857,8928,50517,8937,Article
missing_from_ours,10.1016/J.JCYT.2024.03.030,175857,8929,50517,8928,Article
missing_from_ours,10.1016/J.JCYT.2024.03.030,175857,8929,50517,8937,Article
missing_from_ours,10.1016/J.JCYT.2024.03.030,50517,8928,175857,8928,Article
missing_from_ours,10.1016/J.JCYT.2024.03.030,50517,8928,175857,8929,Article
missing_from_ours,10.1016/J.JCYT.2024.03.030,50517,8937,175857,8928,Article
missing_from_ours,10.1016/J.JCYT.2024.03.030,50517,8937,175857,8929,Article
missing_from_ours,10.1016/J.JCYT.2024.03.443,412328,8931,85646,8929,Article
missing_from_ours,10.1016/J.JCYT.2024.03.443,85646,8929,412328,8931,Article
missing_from_ours,10.1016/J.MEMSCI.2021.119961,435117,8933,92170,8944,Article
missing_from_ours,10.1016/J.MEMSCI.2021.119961,435117,8944,92170,8944,Article
missing_from_ours,10.1016/J.MEMSCI.2021.119961,92170,8944,435117,8933,Article
missing_from_ours,10.1016/J.MEMSCI.2021.119961,92170,8944,435117,8944,Article
missing_from_ours,10.1016/J.PSS.2020.105151,287800,33842,645272,33836,Article
missing_from_ours,10.1016/J.PSS.2020.105151,645272,33836,287800,33842,Article
missing_from_ours,10.1016/J.TOXLET.2024.07.745,370201,33841,544613,33841,Article
missing_from_ours,10.1016/J.TOXLET.2024.07.745,544613,33841,370201,33841,Article
missing_from_ours,10.1017/FMP.2021.14,525312,8943,64189,8943,Article
missing_from_ours,10.1017/FMP.2021.14,64189,8943,525312,8943,Article
missing_from_ours,10.1021/ACS.BIOCONJCHEM.3C00268,1275077,8929,412267,33503,Article
missing_from_ours,10.1021/ACS.BIOCONJCHEM.3C00268,1275077,8929,412267,8931,Article
missing_from_ours,10.1021/ACS.BIOCONJCHEM.3C00268,412267,33503,1275077,8929,Article
missing_from_ours,10.1021/ACS.BIOCONJCHEM.3C00268,412267,8931,1275077,8929,Article
missing_from_ours,10.1021/ACS.JCIM.1C00834,1092832,8931,54951,8931,Article
missing_from_ours,10.1021/ACS.JCIM.1C00834,1092832,8937,54951,8931,Article
missing_from_ours,10.1021/ACS.JCIM.1C00834,54951,8931,1092832,8931,Article
missing_from_ours,10.1021/ACS.JCIM.1C00834,54951,8931,1092832,8937,Article
missing_from_ours,10.1021/ACSANM.4C01524,163144,8942,436500,8942,Article
missing_from_ours,10.1021/ACSANM.4C01524,436500,8942,163144,8942,Article
missing_from_ours,10.1021/ACSESTENGG.0C00034,488068,8928,60109,8932,Article
missing_from_ours,10.1021/ACSESTENGG.0C00034,60109,8932,488068,8928,Article
missing_from_ours,10.1021/ACSESTWATER.0C00034,488068,8928,60109,8932,Article
missing_from_ours,10.1021/ACSESTWATER.0C00034,60109,8932,488068,8928,Article
missing_from_ours,10.1021/ACSOMEGA.4C08041,125401,8932,141156,8928,Article
missing_from_ours,10.1021/ACSOMEGA.4C08041,125401,8932,412250,8931,Article
missing_from_ours,10.1021/ACSOMEGA.4C08041,141156,8928,125401,8932,Article
missing_from_ours,10.1021/ACSOMEGA.4C08041,141156,8928,412250,8931,Article
missing_from_ours,10.1021/ACSOMEGA.4C08041,412250,8931,125401,8932,Article
missing_from_ours,10.1021/ACSOMEGA.4C08041,412250,8931,141156,8928,Article
missing_from_ours,10.1021/JACS.2C04948,14772,8932,488074,8932,Article
missing_from_ours,10.1021/JACS.2C04948,488074,8932,14772,8932,Article
missing_from_ours,10.1038/S41377-021-00519-4,104902,8950,51541,8950,Article
missing_from_ours,10.1038/S41377-021-00519-4,51541,8950,104902,8950,Article
missing_from_ours,10.1038/S41467-021-25672-7,50211,8929,779118,33503,Article
missing_from_ours,10.1038/S41467-021-25672-7,50211,8929,779118,8932,Article
missing_from_ours,10.1038/S41467-021-25672-7,50211,8929,779139,8929,Article
missing_from_ours,10.1038/S41467-021-25672-7,779118,33503,50211,8929,Article
missing_from_ours,10.1038/S41467-021-25672-7,779118,33503,779139,8929,Article
missing_from_ours,10.1038/S41467-021-25672-7,779118,8932,50211,8929,Article
missing_from_ours,10.1038/S41467-021-25672-7,779118,8932,779139,8929,Article
missing_from_ours,10.1038/S41467-021-25672-7,779139,8929,50211,8929,Article
missing_from_ours,10.1038/S41467-021-25672-7,779139,8929,779118,33503,Article
missing_from_ours,10.1038/S41467-021-25672-7,779139,8929,779118,8932,Article
missing_from_ours,10.1038/S41467-022-28397-3,1304708,33843,287149,33843,Article
missing_from_ours,10.1038/S41467-022-28397-3,1304708,33843,288982,33843,Article
missing_from_ours,10.1038/S41467-022-28397-3,287149,33843,1304708,33843,Article
missing_from_ours,10.1038/S41467-022-28397-3,287149,33843,288982,33843,Article
missing_from_ours,10.1038/S41467-022-28397-3,288982,33843,1304708,33843,Article
missing_from_ours,10.1038/S41467-022-28397-3,288982,33843,287149,33843,Article
missing_from_ours,10.1038/S41467-022-32333-W,152018,8929,53694,8937,Article
missing_from_ours,10.1038/S41467-022-32333-W,53694,8937,152018,8929,Article
missing_from_ours,10.1038/S41467-023-40559-5,370154,8928,412280,8944,Article
missing_from_ours,10.1038/S41467-023-40559-5,370154,8928,83316,8929,Article
missing_from_ours,10.1038/S41467-023-40559-5,412280,8944,370154,8928,Article
missing_from_ours,10.1038/S41467-023-40559-5,412280,8944,83316,8929,Article
missing_from_ours,10.1038/S41467-023-40559-5,83316,8929,370154,8928,Article
missing_from_ours,10.1038/S41467-023-40559-5,83316,8929,412280,8944,Article
missing_from_ours,10.1038/S41467-024-50181-8,170896,8930,827696,8945,Article
missing_from_ours,10.1038/S41467-024-50181-8,827696,8945,170896,8930,Article
missing_from_ours,10.1038/S41467-024-51527-Y,287297,8944,435117,8933,Article
missing_from_ours,10.1038/S41467-024-51527-Y,287297,8944,435117,8944,Article
missing_from_ours,10.1038/S41467-024-51527-Y,287297,8944,935577,8944,Article
missing_from_ours,10.1038/S41467-024-51527-Y,435117,8933,287297,8944,Article
missing_from_ours,10.1038/S41467-024-51527-Y,435117,8933,935577,8944,Article
missing_from_ours,10.1038/S41467-024-51527-Y,435117,8944,287297,8944,Article
missing_from_ours,10.1038/S41467-024-51527-Y,435117,8944,935577,8944,Article
missing_from_ours,10.1038/S41467-024-51527-Y,935577,8944,287297,8944,Article
missing_from_ours,10.1038/S41467-024-51527-Y,935577,8944,435117,8933,Article
missing_from_ours,10.1038/S41467-024-51527-Y,935577,8944,435117,8944,Article
missing_from_ours,10.1038/S41551-023-01006-4,46757,8929,58851,8928,Article
missing_from_ours,10.1038/S41551-023-01006-4,46757,8929,58851,8929,Article
missing_from_ours,10.1038/S41551-023-01006-4,46757,8929,58851,8931,Article
missing_from_ours,10.1038/S41551-023-01006-4,46757,8929,60069,8928,Article
missing_from_ours,10.1038/S41551-023-01006-4,46757,8929,827631,8928,Article
missing_from_ours,10.1038/S41551-023-01006-4,58851,8928,46757,8929,Article
missing_from_ours,10.1038/S41551-023-01006-4,58851,8928,60069,8928,Article
missing_from_ours,10.1038/S41551-023-01006-4,58851,8928,827631,8928,Article
missing_from_ours,10.1038/S41551-023-01006-4,58851,8929,46757,8929,Article
missing_from_ours,10.1038/S41551-023-01006-4,58851,8929,60069,8928,Article
missing_from_ours,10.1038/S41551-023-01006-4,58851,8929,827631,8928,Article
missing_from_ours,10.1038/S41551-023-01006-4,58851,8931,46757,8929,Article
missing_from_ours,10.1038/S41551-023-01006-4,58851,8931,60069,8928,Article
missing_from_ours,10.1038/S41551-023-01006-4,58851,8931,827631,8928,Article
missing_from_ours,10.1038/S41551-023-01006-4,60069,8928,46757,8929,Article
missing_from_ours,10.1038/S41551-023-01006-4,60069,8928,58851,8928,Article
missing_from_ours,10.1038/S41551-023-01006-4,60069,8928,58851,8929,Article
missing_from_ours,10.1038/S41551-023-01006-4,60069,8928,58851,8931,Article
missing_from_ours,10.1038/S41551-023-01006-4,60069,8928,827631,8928,Article
missing_from_ours,10.1038/S41551-023-01006-4,827631,8928,46757,8929,Article
missing_from_ours,10.1038/S41551-023-01006-4,827631,8928,58851,8928,Article
missing_from_ours,10.1038/S41551-023-01006-4,827631,8928,58851,8929,Article
missing_from_ours,10.1038/S41551-023-01006-4,827631,8928,58851,8931,Article
missing_from_ours,10.1038/S41551-023-01006-4,827631,8928,60069,8928,Article
missing_from_ours,10.1038/S41560-021-00819-4,136907,8942,287251,8942,Article
missing_from_ours,10.1038/S41560-021-00819-4,287251,8942,136907,8942,Article
missing_from_ours,10.1038/S41560-024-01517-7,14212,8937,6075,8932,Article
missing_from_ours,10.1038/S41560-024-01517-7,6075,8932,14212,8937,Article
missing_from_ours,10.1038/S41562-023-01676-9,540961,8930,856131,8941,Article
missing_from_ours,10.1038/S41562-023-01676-9,540961,8930,8842,8938,Article
missing_from_ours,10.1038/S41562-023-01676-9,540961,8930,8842,8951,Article
missing_from_ours,10.1038/S41562-023-01676-9,540961,8938,856131,8941,Article
missing_from_ours,10.1038/S41562-023-01676-9,540961,8938,8842,8938,Article
missing_from_ours,10.1038/S41562-023-01676-9,540961,8938,8842,8951,Article
missing_from_ours,10.1038/S41562-023-01676-9,540961,8941,856131,8941,Article
missing_from_ours,10.1038/S41562-023-01676-9,540961,8941,8842,8938,Article
missing_from_ours,10.1038/S41562-023-01676-9,540961,8941,8842,8951,Article
missing_from_ours,10.1038/S41562-023-01676-9,856131,8941,540961,8930,Article
missing_from_ours,10.1038/S41562-023-01676-9,856131,8941,540961,8938,Article
missing_from_ours,10.1038/S41562-023-01676-9,856131,8941,540961,8941,Article
missing_from_ours,10.1038/S41562-023-01676-9,856131,8941,8842,8938,Article
missing_from_ours,10.1038/S41562-023-01676-9,856131,8941,8842,8951,Article
missing_from_ours,10.1038/S41562-023-01676-9,8842,8938,540961,8930,Article
missing_from_ours,10.1038/S41562-023-01676-9,8842,8938,540961,8938,Article
missing_from_ours,10.1038/S41562-023-01676-9,8842,8938,540961,8941,Article
missing_from_ours,10.1038/S41562-023-01676-9,8842,8938,856131,8941,Article
missing_from_ours,10.1038/S41562-023-01676-9,8842,8951,540961,8930,Article
missing_from_ours,10.1038/S41562-023-01676-9,8842,8951,540961,8938,Article
missing_from_ours,10.1038/S41562-023-01676-9,8842,8951,540961,8941,Article
missing_from_ours,10.1038/S41562-023-01676-9,8842,8951,856131,8941,Article
missing_from_ours,10.1038/S41562-024-01945-1,540961,8930,8842,8938,Article
missing_from_ours,10.1038/S41562-024-01945-1,540961,8930,8842,8951,Article
missing_from_ours,10.1038/S41562-024-01945-1,540961,8938,8842,8938,Article
missing_from_ours,10.1038/S41562-024-01945-1,540961,8938,8842,8951,Article
missing_from_ours,10.1038/S41562-024-01945-1,540961,8941,8842,8938,Article
missing_from_ours,10.1038/S41562-024-01945-1,540961,8941,8842,8951,Article
missing_from_ours,10.1038/S41562-024-01945-1,8842,8938,540961,8930,Article
missing_from_ours,10.1038/S41562-024-01945-1,8842,8938,540961,8938,Article
missing_from_ours,10.1038/S41562-024-01945-1,8842,8938,540961,8941,Article
missing_from_ours,10.1038/S41562-024-01945-1,8842,8951,540961,8930,Article
missing_from_ours,10.1038/S41562-024-01945-1,8842,8951,540961,8938,Article
missing_from_ours,10.1038/S41562-024-01945-1,8842,8951,540961,8941,Article
missing_from_ours,10.1038/S41565-022-01109-0,113951,8937,151147,8937,Article
missing_from_ours,10.1038/S41565-022-01109-0,151147,8937,113951,8937,Article
missing_from_ours,10.1038/S41567-023-01992-X,116604,8950,120362,8950,Article
missing_from_ours,10.1038/S41567-023-01992-X,116604,8950,15477,8950,Article
missing_from_ours,10.1038/S41567-023-01992-X,116604,8950,30783,8950,Article
missing_from_ours,10.1038/S41567-023-01992-X,116604,8950,627165,8950,Article
missing_from_ours,10.1038/S41567-023-01992-X,116604,8950,827695,8950,Article
missing_from_ours,10.1038/S41567-023-01992-X,120362,8950,116604,8950,Article
missing_from_ours,10.1038/S41567-023-01992-X,120362,8950,15477,8950,Article
missing_from_ours,10.1038/S41567-023-01992-X,120362,8950,30783,8950,Article
missing_from_ours,10.1038/S41567-023-01992-X,120362,8950,627165,8950,Article
missing_from_ours,10.1038/S41567-023-01992-X,120362,8950,827695,8950,Article
missing_from_ours,10.1038/S41567-023-01992-X,15477,8950,116604,8950,Article
missing_from_ours,10.1038/S41567-023-01992-X,15477,8950,120362,8950,Article
missing_from_ours,10.1038/S41567-023-01992-X,15477,8950,30783,8950,Article
missing_from_ours,10.1038/S41567-023-01992-X,15477,8950,627165,8950,Article
missing_from_ours,10.1038/S41567-023-01992-X,15477,8950,827695,8950,Article
missing_from_ours,10.1038/S41567-023-01992-X,30783,8950,116604,8950,Article
missing_from_ours,10.1038/S41567-023-01992-X,30783,8950,120362,8950,Article
missing_from_ours,10.1038/S41567-023-01992-X,30783,8950,15477,8950,Article
missing_from_ours,10.1038/S41567-023-01992-X,30783,8950,627165,8950,Article
missing_from_ours,10.1038/S41567-023-01992-X,30783,8950,827695,8950,Article
missing_from_ours,10.1038/S41567-023-01992-X,627165,8950,116604,8950,Article
missing_from_ours,10.1038/S41567-023-01992-X,627165,8950,120362,8950,Article
missing_from_ours,10.1038/S41567-023-01992-X,627165,8950,15477,8950,Article
missing_from_ours,10.1038/S41567-023-01992-X,627165,8950,30783,8950,Article
missing_from_ours,10.1038/S41567-023-01992-X,627165,8950,827695,8950,Article
missing_from_ours,10.1038/S41567-023-01992-X,827695,8950,116604,8950,Article
missing_from_ours,10.1038/S41567-023-01992-X,827695,8950,120362,8950,Article
missing_from_ours,10.1038/S41567-023-01992-X,827695,8950,15477,8950,Article
missing_from_ours,10.1038/S41567-023-01992-X,827695,8950,30783,8950,Article
missing_from_ours,10.1038/S41567-023-01992-X,827695,8950,627165,8950,Article
missing_from_ours,10.1038/S41567-023-02368-X,116604,8950,120362,8950,Article
missing_from_ours,10.1038/S41567-023-02368-X,116604,8950,15477,8950,Article
missing_from_ours,10.1038/S41567-023-02368-X,116604,8950,30783,8950,Article
missing_from_ours,10.1038/S41567-023-02368-X,116604,8950,627165,8950,Article
missing_from_ours,10.1038/S41567-023-02368-X,116604,8950,827695,8950,Article
missing_from_ours,10.1038/S41567-023-02368-X,120362,8950,116604,8950,Article
missing_from_ours,10.1038/S41567-023-02368-X,120362,8950,15477,8950,Article
missing_from_ours,10.1038/S41567-023-02368-X,120362,8950,30783,8950,Article
missing_from_ours,10.1038/S41567-023-02368-X,120362,8950,627165,8950,Article
missing_from_ours,10.1038/S41567-023-02368-X,120362,8950,827695,8950,Article
missing_from_ours,10.1038/S41567-023-02368-X,15477,8950,116604,8950,Article
missing_from_ours,10.1038/S41567-023-02368-X,15477,8950,120362,8950,Article
missing_from_ours,10.1038/S41567-023-02368-X,15477,8950,30783,8950,Article
missing_from_ours,10.1038/S41567-023-02368-X,15477,8950,627165,8950,Article
missing_from_ours,10.1038/S41567-023-02368-X,15477,8950,827695,8950,Article
missing_from_ours,10.1038/S41567-023-02368-X,30783,8950,116604,8950,Article
missing_from_ours,10.1038/S41567-023-02368-X,30783,8950,120362,8950,Article
missing_from_ours,10.1038/S41567-023-02368-X,30783,8950,15477,8950,Article
missing_from_ours,10.1038/S41567-023-02368-X,30783,8950,627165,8950,Article
missing_from_ours,10.1038/S41567-023-02368-X,30783,8950,827695,8950,Article
missing_from_ours,10.1038/S41567-023-02368-X,627165,8950,116604,8950,Article
missing_from_ours,10.1038/S41567-023-02368-X,627165,8950,120362,8950,Article
missing_from_ours,10.1038/S41567-023-02368-X,627165,8950,15477,8950,Article
missing_from_ours,10.1038/S41567-023-02368-X,627165,8950,30783,8950,Article
missing_from_ours,10.1038/S41567-023-02368-X,627165,8950,827695,8950,Article
missing_from_ours,10.1038/S41567-023-02368-X,827695,8950,116604,8950,Article
missing_from_ours,10.1038/S41567-023-02368-X,827695,8950,120362,8950,Article
missing_from_ours,10.1038/S41567-023-02368-X,827695,8950,15477,8950,Article
missing_from_ours,10.1038/S41567-023-02368-X,827695,8950,30783,8950,Article
missing_from_ours,10.1038/S41567-023-02368-X,827695,8950,627165,8950,Article
missing_from_ours,10.1038/S41569-023-00982-Z,41191,8937,630658,33503,Article
missing_from_ours,10.1038/S41569-023-00982-Z,630658,33503,41191,8937,Article
missing_from_ours,10.1038/S41586-021-03191-1,412267,33503,412326,8930,Article
missing_from_ours,10.1038/S41586-021-03191-1,412267,8931,412326,8930,Article
missing_from_ours,10.1038/S41586-021-03191-1,412326,8930,412267,33503,Article
missing_from_ours,10.1038/S41586-021-03191-1,412326,8930,412267,8931,Article
missing_from_ours,10.1038/S41586-021-03397-3,1088692,33841,370187,33841,Article
missing_from_ours,10.1038/S41586-021-03397-3,370187,33841,1088692,33841,Article
missing_from_ours,10.1038/S41586-021-03464-9,1088692,33841,370187,33841,Article
missing_from_ours,10.1038/S41586-021-03464-9,370187,33841,1088692,33841,Article
missing_from_ours,10.1038/S41586-021-04149-Z,412247,8929,627127,33503,Article
missing_from_ours,10.1038/S41586-021-04149-Z,412247,8929,627127,8930,Article
missing_from_ours,10.1038/S41586-021-04149-Z,412247,8929,627127,8931,Article
missing_from_ours,10.1038/S41586-021-04149-Z,627127,33503,412247,8929,Article
missing_from_ours,10.1038/S41586-021-04149-Z,627127,8930,412247,8929,Article
missing_from_ours,10.1038/S41586-021-04149-Z,627127,8931,412247,8929,Article
missing_from_ours,10.1038/S41586-021-04226-3,135419,8928,44443,8937,Article
missing_from_ours,10.1038/S41586-021-04226-3,135419,8928,50192,8937,Article
missing_from_ours,10.1038/S41586-021-04226-3,135419,8928,50192,8938,Article
missing_from_ours,10.1038/S41586-021-04226-3,135419,8928,53694,8937,Article
missing_from_ours,10.1038/S41586-021-04226-3,135419,8929,44443,8937,Article
missing_from_ours,10.1038/S41586-021-04226-3,135419,8929,50192,8937,Article
missing_from_ours,10.1038/S41586-021-04226-3,135419,8929,50192,8938,Article
missing_from_ours,10.1038/S41586-021-04226-3,135419,8929,53694,8937,Article
missing_from_ours,10.1038/S41586-021-04226-3,44443,8937,135419,8928,Article
missing_from_ours,10.1038/S41586-021-04226-3,44443,8937,135419,8929,Article
missing_from_ours,10.1038/S41586-021-04226-3,44443,8937,50192,8937,Article
missing_from_ours,10.1038/S41586-021-04226-3,44443,8937,50192,8938,Article
missing_from_ours,10.1038/S41586-021-04226-3,44443,8937,53694,8937,Article
missing_from_ours,10.1038/S41586-021-04226-3,50192,8937,135419,8928,Article
missing_from_ours,10.1038/S41586-021-04226-3,50192,8937,135419,8929,Article
missing_from_ours,10.1038/S41586-021-04226-3,50192,8937,44443,8937,Article
missing_from_ours,10.1038/S41586-021-04226-3,50192,8937,53694,8937,Article
