diff_type,doi,focal_personid,focal_unitid,collab_personid,collab_unitid,collab_type
missing_from_ours,10.1007/JHEP12(2022)035,15477,1925,627165,1925,Article
missing_from_ours,10.1007/JHEP12(2022)035,15477,1925,827695,1925,Article
missing_from_ours,10.1007/JHEP12(2022)035,30783,1925,116604,1925,Article
missing_from_ours,10.1007/JHEP12(2022)035,30783,1925,120362,1925,Article
missing_from_ours,10.1007/JHEP12(2022)035,30783,1925,15477,1925,Article
missing_from_ours,10.1007/JHEP12(2022)035,30783,1925,627165,1925,Article
missing_from_ours,10.1007/JHEP12(2022)035,30783,1925,827695,1925,Article
missing_from_ours,10.1007/JHEP12(2022)035,627165,1925,116604,1925,Article
missing_from_ours,10.1007/JHEP12(2022)035,627165,1925,120362,1925,Article
missing_from_ours,10.1007/JHEP12(2022)035,627165,1925,15477,1925,Article
missing_from_ours,10.1007/JHEP12(2022)035,627165,1925,30783,1925,Article
missing_from_ours,10.1007/JHEP12(2022)035,627165,1925,827695,1925,Article
missing_from_ours,10.1007/JHEP12(2022)035,827695,1925,116604,1925,Article
missing_from_ours,10.1007/JHEP12(2022)035,827695,1925,120362,1925,Article
missing_from_ours,10.1007/JHEP12(2022)035,827695,1925,15477,1925,Article
missing_from_ours,10.1007/JHEP12(2022)035,827695,1925,30783,1925,Article
missing_from_ours,10.1007/JHEP12(2022)035,827695,1925,627165,1925,Article
missing_from_ours,10.1007/S11002-022-09617-8,627170,1908,9049,1908,Article
missing_from_ours,10.1007/S11002-022-09617-8,627170,1929,9049,1908,Article
missing_from_ours,10.1007/S11002-022-09617-8,627170,41570,9049,1908,Article
missing_from_ours,10.1007/S11002-022-09617-8,9049,1908,627170,1908,Article
missing_from_ours,10.1007/S11002-022-09617-8,9049,1908,627170,1929,Article
missing_from_ours,10.1007/S11002-022-09617-8,9049,1908,627170,41570,Article
missing_from_ours,10.1016/J.CBPA.2021.08.009,1092309,1907,1092832,1906,Article
missing_from_ours,10.1016/J.CBPA.2021.08.009,1092309,1907,1092832,1909,Article
missing_from_ours,10.1016/J.CBPA.2021.08.009,1092309,1907,1092832,41851,Article
missing_from_ours,10.1016/J.CBPA.2021.08.009,1092309,1907,1092832,9852,Article
missing_from_ours,10.1016/J.CBPA.2021.08.009,1092309,1909,1092832,1906,Article
missing_from_ours,10.1016/J.CBPA.2021.08.009,1092309,1909,1092832,1909,Article
missing_from_ours,10.1016/J.CBPA.2021.08.009,1092309,1909,1092832,41851,Article
missing_from_ours,10.1016/J.CBPA.2021.08.009,1092309,1909,1092832,9852,Article
missing_from_ours,10.1016/J.CBPA.2021.08.009,1092832,1906,1092309,1907,Article
missing_from_ours,10.1016/J.CBPA.2021.08.009,1092832,1906,1092309,1909,Article
missing_from_ours,10.1016/J.CBPA.2021.08.009,1092832,1909,1092309,1907,Article
missing_from_ours,10.1016/J.CBPA.2021.08.009,1092832,1909,1092309,1909,Article
missing_from_ours,10.1016/J.CBPA.2021.08.009,1092832,41851,1092309,1907,Article
missing_from_ours,10.1016/J.CBPA.2021.08.009,1092832,41851,1092309,1909,Article
missing_from_ours,10.1016/J.CBPA.2021.08.009,1092832,9852,1092309,1907,Article
missing_from_ours,10.1016/J.CBPA.2021.08.009,1092832,9852,1092309,1909,Article
missing_from_ours,10.1016/J.CHEMGEO.2021.120355,1108302,11918,1584403,11918,Article
missing_from_ours,10.1016/J.CHEMGEO.2021.120355,1108302,11918,1584403,8964,Article
missing_from_ours,10.1016/J.CHEMGEO.2021.120355,1108302,8964,1584403,11918,Article
missing_from_ours,10.1016/J.CHEMGEO.2021.120355,1108302,8964,1584403,8964,Article
missing_from_ours,10.1016/J.CHEMGEO.2021.120355,1584403,11918,1108302,11918,Article
missing_from_ours,10.1016/J.CHEMGEO.2021.120355,1584403,11918,1108302,8964,Article
missing_from_ours,10.1016/J.CHEMGEO.2021.120355,1584403,8964,1108302,11918,Article
missing_from_ours,10.1016/J.CHEMGEO.2021.120355,1584403,8964,1108302,8964,Article
missing_from_ours,10.1016/J.CHEMGEO.2021.120652,1108302,11918,1584403,11918,Article
missing_from_ours,10.1016/J.CHEMGEO.2021.120652,1108302,11918,1584403,8964,Article
missing_from_ours,10.1016/J.CHEMGEO.2021.120652,1108302,8964,1584403,11918,Article
missing_from_ours,10.1016/J.CHEMGEO.2021.120652,1108302,8964,1584403,8964,Article
missing_from_ours,10.1016/J.CHEMGEO.2021.120652,1584403,11918,1108302,11918,Article
missing_from_ours,10.1016/J.CHEMGEO.2021.120652,1584403,11918,1108302,8964,Article
missing_from_ours,10.1016/J.CHEMGEO.2021.120652,1584403,8964,1108302,11918,Article
missing_from_ours,10.1016/J.CHEMGEO.2021.120652,1584403,8964,1108302,8964,Article
missing_from_ours,10.1016/J.JBC.2024.107240,789733,1907,85646,1904,Article
missing_from_ours,10.1016/J.JBC.2024.107240,789733,1907,85646,8962,Article
missing_from_ours,10.1016/J.JBC.2024.107240,85646,1904,789733,1907,Article
missing_from_ours,10.1016/J.JBC.2024.107240,85646,8962,789733,1907,Article
missing_from_ours,10.1016/J.JCYT.2024.03.030,175857,1903,50517,1903,Article
missing_from_ours,10.1016/J.JCYT.2024.03.030,175857,1903,50517,1912,Article
missing_from_ours,10.1016/J.JCYT.2024.03.030,175857,1904,50517,1903,Article
missing_from_ours,10.1016/J.JCYT.2024.03.030,175857,1904,50517,1912,Article
missing_from_ours,10.1016/J.JCYT.2024.03.030,175857,1909,50517,1903,Article
missing_from_ours,10.1016/J.JCYT.2024.03.030,175857,1909,50517,1912,Article
missing_from_ours,10.1016/J.JCYT.2024.03.030,50517,1903,175857,1903,Article
missing_from_ours,10.1016/J.JCYT.2024.03.030,50517,1903,175857,1904,Article
missing_from_ours,10.1016/J.JCYT.2024.03.030,50517,1903,175857,1909,Article
missing_from_ours,10.1016/J.JCYT.2024.03.030,50517,1912,175857,1903,Article
missing_from_ours,10.1016/J.JCYT.2024.03.030,50517,1912,175857,1904,Article
missing_from_ours,10.1016/J.JCYT.2024.03.030,50517,1912,175857,1909,Article
missing_from_ours,10.1016/J.JCYT.2024.03.443,412328,1906,85646,1904,Article
missing_from_ours,10.1016/J.JCYT.2024.03.443,412328,1906,85646,8962,Article
missing_from_ours,10.1016/J.JCYT.2024.03.443,412328,41851,85646,1904,Article
missing_from_ours,10.1016/J.JCYT.2024.03.443,412328,41851,85646,8962,Article
missing_from_ours,10.1016/J.JCYT.2024.03.443,85646,1904,412328,1906,Article
missing_from_ours,10.1016/J.JCYT.2024.03.443,85646,1904,412328,41851,Article
missing_from_ours,10.1016/J.JCYT.2024.03.443,85646,8962,412328,1906,Article
missing_from_ours,10.1016/J.JCYT.2024.03.443,85646,8962,412328,41851,Article
missing_from_ours,10.1016/J.MEMSCI.2021.119961,435117,1908,92170,1921,Article
missing_from_ours,10.1016/J.MEMSCI.2021.119961,435117,1921,92170,1921,Article
missing_from_ours,10.1016/J.MEMSCI.2021.119961,92170,1921,435117,1908,Article
missing_from_ours,10.1016/J.MEMSCI.2021.119961,92170,1921,435117,1921,Article
missing_from_ours,10.1016/J.PSS.2020.105151,287800,11918,645272,11918,Article
missing_from_ours,10.1016/J.PSS.2020.105151,287800,11918,645272,8964,Article
missing_from_ours,10.1016/J.PSS.2020.105151,287800,1914,645272,11918,Article
missing_from_ours,10.1016/J.PSS.2020.105151,287800,1914,645272,8964,Article
missing_from_ours,10.1016/J.PSS.2020.105151,645272,11918,287800,11918,Article
missing_from_ours,10.1016/J.PSS.2020.105151,645272,11918,287800,1914,Article
missing_from_ours,10.1016/J.PSS.2020.105151,645272,8964,287800,11918,Article
missing_from_ours,10.1016/J.PSS.2020.105151,645272,8964,287800,1914,Article
missing_from_ours,10.1016/J.TOXLET.2024.07.745,370201,11918,544613,11918,Article
missing_from_ours,10.1016/J.TOXLET.2024.07.745,544613,11918,370201,11918,Article
missing_from_ours,10.1017/FMP.2021.14,525312,1920,64189,1920,Article
missing_from_ours,10.1017/FMP.2021.14,64189,1920,525312,1920,Article
missing_from_ours,10.1021/ACS.BIOCONJCHEM.3C00268,1275077,1904,412267,1906,Article
missing_from_ours,10.1021/ACS.BIOCONJCHEM.3C00268,1275077,1904,412267,1916,Article
missing_from_ours,10.1021/ACS.BIOCONJCHEM.3C00268,412267,1906,1275077,1904,Article
missing_from_ours,10.1021/ACS.BIOCONJCHEM.3C00268,412267,1916,1275077,1904,Article
missing_from_ours,10.1021/ACS.JCIM.1C00834,1092832,1906,54951,1906,Article
missing_from_ours,10.1021/ACS.JCIM.1C00834,1092832,1909,54951,1906,Article
