Unit,Collab Institution,Collab Unit,Collaborators,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
"Economics, Department of",Northeastern University,"Health Sciences, Department of",2,2,0,0,0,0,0,0
"Economics, Department of",Northeastern University,"Physics, Department of",1,1,0,0,0,0,0,0
"Economics, Department of",Northeastern University,"Computer Sciences, Khoury College of",1,1,0,0,0,0,0,0
"Economics, Department of",Northwestern University,"Finance, Department of",2,4,0,0,0,0,0,0
"Economics, Department of",Northwestern University,"Strategy, Department of",2,1,0,0,0,0,0,0
"Economics, Department of",Northwestern University,"Marketing, Department of",2,3,0,0,1,0,0,0
"Economics, Department of",Northwestern University,"Managerial Economics and Decision Sciences, Department of",1,1,0,0,0,0,0,0
"Economics, Department of",Northwestern University,"Management and Organizations, Department of",1,1,0,0,0,0,0,0
"Economics, Department of",Northwestern University,"Economics, Department of",6,6,0,0,1,0,0,0
"Economics, Department of","Ohio State University, The","Political Science, Department of",1,1,0,0,0,0,0,0
"Economics, Department of",Pennsylvania State University - University Park,"Economics, Department of",2,1,0,1,0,0,0,0
"Economics, Department of",Princeton University,"Computer Science, Department of",1,1,0,0,0,0,0,0
"Economics, Department of",Princeton University,"Operations Research and Financial Engineering, Department of",1,1,0,0,0,0,0,0
"Economics, Department of",Princeton University,"Psychology, Department of",3,2,0,0,0,0,0,0
"Economics, Department of",Princeton University,"Sociology, Department of",2,1,0,0,0,0,0,0
"Economics, Department of",Princeton University,"Public and International Affairs, School of",6,5,0,0,0,0,0,0
"Economics, Department of",Princeton University,"Economics, Department of",5,7,0,0,0,0,0,0
"Economics, Department of",Purdue University,"Sociology, Department of",1,1,0,0,0,0,0,0
"Economics, Department of",Purdue University,"Business, School of",1,2,0,0,0,0,0,0
"Economics, Department of",Rutgers - New Brunswick,"Economics, Department of",1,1,0,0,0,0,0,0
"Economics, Department of",Rutgers - New Brunswick,"Planning and Public Policy, Edward J. Bloustein School of",1,1,0,0,0,0,0,0
"Economics, Department of",Stanford University,"Computer Science, Department of",2,2,0,0,0,0,0,0
"Economics, Department of",Stanford University,"Economics, Department of",7,25,2,1,0,1,0,3
"Economics, Department of",Stanford University,"Management Science and Engineering, Department of",1,1,0,0,0,0,0,0
"Economics, Department of",Stanford University,"Psychology, Department of",1,1,0,0,0,0,0,0
"Economics, Department of",Stanford University,"Business, Graduate School of",6,12,0,1,0,0,0,0
"Economics, Department of",Stanford University,"Electrical Engineering, Department of",1,1,0,0,0,0,0,0
"Economics, Department of",Syracuse University,"Economics, Department of",1,1,0,0,0,0,0,0
"Economics, Department of","University of Texas at Austin, The","Economics, Department of",4,4,0,0,0,0,0,0
"Economics, Department of","University of Texas at Austin, The","Finance, Department of",1,1,0,0,0,0,0,0
"Economics, Department of",Tufts University,"Economics, Department of",1,2,0,0,0,0,0,0
"Economics, Department of","University of Arizona, The","Economics, Department of",2,3,0,0,0,0,0,0
"Economics, Department of","University of Arizona, The","Marketing, Department of",1,1,0,0,0,0,0,0
"Economics, Department of",University of Arkansas,"Economics, Department of",1,1,0,0,0,0,0,0
"Economics, Department of","University of California, Berkeley","Agricultural and Resource Economics, Department of",2,1,0,0,0,0,0,0
"Economics, Department of","University of California, Berkeley","Demography, Department of",1,1,0,0,0,0,0,0
"Economics, Department of","University of California, Berkeley","Economics, Department of",12,21,0,0,0,1,0,0
"Economics, Department of","University of California, Berkeley","Electrical Engineering and Computer Sciences, Department of",1,1,0,0,0,0,0,0
"Economics, Department of","University of California, Berkeley","Business, School of",5,6,0,0,0,0,0,0
"Economics, Department of","University of California, Berkeley","Public Health, School of",1,4,0,0,0,0,0,0
"Economics, Department of","University of California, Berkeley","Public Policy, School of",1,1,0,0,0,0,0,0
"Economics, Department of","University of California, Davis","Economics, Department of",2,2,0,0,0,0,0,0
"Economics, Department of","University of California, Los Angeles","Management, School of",5,4,0,0,0,0,0,0
"Economics, Department of","University of California, Los Angeles","Economics, Department of",5,9,0,0,0,0,0,0
"Economics, Department of","University of California, San Diego","Global Policy and Strategy, School of",1,1,0,0,0,0,0,0
"Economics, Department of","University of Chicago, The","Business, Booth School of",13,12,1,2,0,0,0,1
"Economics, Department of","University of Chicago, The","Computer Science, Department of",3,0,0,0,0,1,0,0
"Economics, Department of","University of Chicago, The","Economics, Department of",4,4,1,0,0,1,0,0
"Economics, Department of","University of Chicago, The","Public Policy, Harris School of",5,13,1,1,0,0,0,0
"Economics, Department of",University of Colorado Boulder,"Economics, Department of",1,3,0,0,0,0,0,0
"Economics, Department of",University of Colorado Boulder,"Business, Leeds School of",1,0,0,0,1,0,0,0
"Economics, Department of",University of Delaware,"Epidemiology, Program in",1,1,0,0,0,0,0,0
"Economics, Department of","University of Iowa, The","Economics, Department of",1,2,0,0,0,0,0,0
"Economics, Department of","University of Maryland, College Park","Economics, Department of",4,3,0,0,0,0,0,0
"Economics, Department of","University of Maryland, College Park","Management and Organization, Department of",1,1,0,0,0,0,0,0
"Economics, Department of",University of Massachusetts Boston,"Marketing, Department of",1,1,0,0,0,0,0,0
"Economics, Department of",University of Michigan,"Economics, Department of",1,3,0,0,0,0,0,0
"Economics, Department of",University of Michigan,"Health Management and Policy, Department of",1,2,0,0,0,0,0,0
"Economics, Department of",University of Michigan,"Public Policy, School of",1,1,0,0,0,0,0,0
"Economics, Department of",University of Michigan,"Business, School of",3,2,0,0,1,0,0,0
"Economics, Department of","University of Minnesota, Twin Cities","Curriculum and Instruction, Department of",1,1,0,0,0,0,0,0
"Economics, Department of",University of North Carolina at Chapel Hill,"Public Policy, Department of",1,2,0,0,0,0,0,0
"Economics, Department of",University of Notre Dame,"Economics, Department of",1,1,0,0,0,0,0,0
"Economics, Department of",University of Pennsylvania,"Computer and Information Science, Department of",2,3,0,0,0,0,0,0
"Economics, Department of",University of Pennsylvania,"Economics, Department of",3,3,0,0,1,0,0,0
"Economics, Department of",University of Pennsylvania,"Marketing, Department of",6,4,0,0,0,0,0,0
"Economics, Department of",University of Pennsylvania,"Operations, Information and Decisions, Department of",3,4,0,0,0,0,0,0
"Economics, Department of",University of Pennsylvania,"Psychology, Department of",2,2,0,0,0,0,0,0
"Economics, Department of",University of Pennsylvania,"Communication, School for",1,1,0,0,0,0,0,0
"Economics, Department of",University of Pennsylvania,"Business Economics and Public Policy, Department of",2,2,0,0,0,0,0,0
"Economics, Department of",University of Pennsylvania,"Medical Ethics and Health Policy, Department of",1,2,0,0,0,0,0,0
"Economics, Department of",University of Rochester,"Economics, Department of",1,1,0,0,0,0,0,0
"Economics, Department of",University of Southern California,"Finance and Business Economics, Department of",1,1,0,0,0,0,0,0
"Economics, Department of",University of Southern California,"Data Sciences and Operations, Department of",1,1,0,0,0,0,0,0
"Economics, Department of",University of Southern California,"Psychology, Department of",1,1,0,0,0,1,0,0
"Economics, Department of",University of Southern California,"Public Policy, School of",1,1,0,0,0,1,0,0
"Economics, Department of",University of Southern California,"Communication and Journalism, School For",1,1,0,0,0,0,0,0
"Economics, Department of","University of Toledo, The","Pathology, Department of",1,1,0,0,0,0,0,0
"Economics, Department of","University of Utah, The","Marketing, Department of",1,1,0,0,0,0,0,0
"Economics, Department of","University of Utah, The","Entrepreneurship and Strategy, Department of",1,0,0,0,1,0,0,0
"Economics, Department of",University of Virginia,Global Economies and Markets Area - Darden,1,1,0,0,0,0,0,0
"Economics, Department of",University of Wisconsin - Madison,"Economics, Department of",1,1,0,0,0,0,0,0
"Economics, Department of",Vanderbilt University,"Medicine, Health, and Society, Department of",1,1,0,0,0,0,0,0
"Economics, Department of",Washington University in St. Louis,"Economics, Department of",2,2,0,0,1,0,0,0
"Economics, Department of",Washington University in St. Louis,Business: Organizational Behavior,1,1,0,0,0,0,0,0
"Economics, Department of",Washington University in St. Louis,Business: Strategy,1,0,0,0,1,0,0,0
"Economics, Department of",Washington University in St. Louis,"Statistics and Data Science, Department of",1,0,1,0,0,0,0,0
"Economics, Department of",Yale University,"Economics, Department of",9,15,0,1,1,0,0,0
"Economics, Department of",Yale University,"Psychology, Department of",1,1,0,0,0,0,0,0
"Economics, Department of",Yale University,"Management, School of",10,16,0,0,0,0,0,1
"Economics, Department of",Yale University,"Epidemiology of Microbial Diseases, Department of",1,1,0,0,0,0,0,0
