Unit,Collab Unit,Collaborators,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
"Science, Technology and Society, Program in","Science, Technology and Society, Program in",0,0,0,0,0,0,0,0
"Science, Technology and Society, Program in","Applied Ocean Physics and Engineering, Department of",1,0,0,0,0,0,2,0
"Science, Technology and Society, Program in","Economics, Department of",1,0,1,0,0,0,0,0
"Science, Technology and Society, Program in","Physics, Department of",1,0,0,0,0,1,0,0
"Science, Technology and Society, Program in","Urban Studies and Planning, Department of",1,0,1,0,0,0,0,0
