Unit,Unit Scholar,Unit Scholar ID,Collab Unit,Collab Scholar,Collab Scholar ID,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
"Brain and Cognitive Sciences, Department of","JASANOFF, ALAN PRADIP",61378,"Brain and Cognitive Sciences, Department of","SUR, MRIGANKA",176367,1,0,0,0,0,0,0
"Brain and Cognitive Sciences, Department of","JASANOFF, ALAN PRADIP",61378,"Earth, Atmospheric and Planetary Sciences, Department of","WEISS, BENJAMIN P",171439,1,0,0,0,0,0,0
"Brain and Cognitive Sciences, Department of","SHENG, MORGAN HWA-TZE",103684,"Biological Engineering, Department of","BATHE, MARK",287081,1,0,0,0,0,0,0
"Brain and Cognitive Sciences, Department of","SHENG, MORGAN HWA-TZE",103684,"Brain and Cognitive Sciences, Department of","FENG, GUOPING",412326,1,0,0,0,0,0,0
"Brain and Cognitive Sciences, Department of","SHENG, MORGAN HWA-TZE",103684,"Chemistry, Department of","WANG, XIAO",1092309,2,0,0,0,0,0,0
"Brain and Cognitive Sciences, Department of","SHENG, MORGAN HWA-TZE",103684,"Brain and Cognitive Sciences, Department of","ZHANG, FENG",488071,1,0,0,0,0,0,0
"Brain and Cognitive Sciences, Department of","TENENBAUM, JOSHUA B",108215,"Electrical Engineering and Computer Sciences, Department of","AGRAWAL, PULKIT",1108293,0,0,0,1,0,0,0
"Brain and Cognitive Sciences, Department of","TENENBAUM, JOSHUA B",108215,"Linguistics and Philosophy, Department of","ALBRIGHT, ADAM",113505,1,0,0,0,0,0,0
"Brain and Cognitive Sciences, Department of","TENENBAUM, JOSHUA B",108215,"Brain and Cognitive Sciences, Department of","DICARLO, JAMES",176354,0,0,0,1,1,0,0
"Brain and Cognitive Sciences, Department of","TENENBAUM, JOSHUA B",108215,"Electrical Engineering and Computer Sciences, Department of","DURAND, FREDERIC",28679,0,0,0,0,0,1,0
"Brain and Cognitive Sciences, Department of","TENENBAUM, JOSHUA B",108215,"Brain and Cognitive Sciences, Department of","FEDORENKO, EVELINA G",816039,2,0,0,0,0,0,0
"Brain and Cognitive Sciences, Department of","TENENBAUM, JOSHUA B",108215,"Electrical Engineering and Computer Sciences, Department of","ISOLA, PHILLIP JOHN",856144,0,0,0,2,0,0,0
"Brain and Cognitive Sciences, Department of","TENENBAUM, JOSHUA B",108215,"Electrical Engineering and Computer Sciences, Department of","KAELBLING, LESLIE P",149514,6,0,0,4,0,0,0
"Brain and Cognitive Sciences, Department of","TENENBAUM, JOSHUA B",108215,"Brain and Cognitive Sciences, Department of","KANWISHER, NANCY",57328,6,0,0,1,1,0,0
"Brain and Cognitive Sciences, Department of","TENENBAUM, JOSHUA B",108215,"Mechanical Engineering, Department of","LEONARD, JOHN J",60042,0,0,0,2,0,0,0
"Brain and Cognitive Sciences, Department of","TENENBAUM, JOSHUA B",108215,"Brain and Cognitive Sciences, Department of","LEVY, ROGER P",205822,0,0,0,1,0,0,0
"Brain and Cognitive Sciences, Department of","TENENBAUM, JOSHUA B",108215,"Electrical Engineering and Computer Sciences, Department of","LOZANO-PEREZ, TOMAS",95122,5,0,0,3,0,0,0
"Brain and Cognitive Sciences, Department of","TENENBAUM, JOSHUA B",108215,"Brain and Cognitive Sciences, Department of","MANSINGHKA, VIKASH K",779099,2,0,0,3,0,0,0
"Brain and Cognitive Sciences, Department of","TENENBAUM, JOSHUA B",108215,"Electrical Engineering and Computer Sciences, Department of","MATUSIK, WOJCIECH",488080,0,0,0,1,0,0,0
"Brain and Cognitive Sciences, Department of","TENENBAUM, JOSHUA B",108215,"Brain and Cognitive Sciences, Department of","MCDERMOTT, JOSHUA HARTMAN",627126,0,0,0,2,0,0,0
"Brain and Cognitive Sciences, Department of","TENENBAUM, JOSHUA B",108215,"Institute for Data, Systems, and Society (IDSS)","PENTLAND, ALEX PAUL",115847,2,0,0,0,0,0,0
"Brain and Cognitive Sciences, Department of","TENENBAUM, JOSHUA B",108215,"Electrical Engineering and Computer Sciences, Department of","RAGAN-KELLEY, JONATHAN M",795466,1,0,0,3,0,0,0
"Brain and Cognitive Sciences, Department of","TENENBAUM, JOSHUA B",108215,"Urban Studies and Planning, Department of","SANTI, PAOLO",1108315,1,0,0,0,0,0,0
"Brain and Cognitive Sciences, Department of","TENENBAUM, JOSHUA B",108215,"Brain and Cognitive Sciences, Department of","SAXE, REBECCA R",176362,1,0,0,0,0,0,0
"Brain and Cognitive Sciences, Department of","TENENBAUM, JOSHUA B",108215,"Brain and Cognitive Sciences, Department of","SCHULZ, LAURA E",122084,3,0,0,0,0,0,0
"Brain and Cognitive Sciences, Department of","TENENBAUM, JOSHUA B",108215,"Electrical Engineering and Computer Sciences, Department of","SITZMANN, VINCENT",1770029,1,0,0,2,0,1,0
"Brain and Cognitive Sciences, Department of","TENENBAUM, JOSHUA B",108215,"Electrical Engineering and Computer Sciences, Department of","SOLAR LEZAMA, ARMANDO",289378,4,0,0,2,0,0,0
"Brain and Cognitive Sciences, Department of","TENENBAUM, JOSHUA B",108215,"Electrical Engineering and Computer Sciences, Department of","TORRALBA, ANTONIO",169255,0,0,0,14,0,0,0
"Brain and Cognitive Sciences, Department of","SCHULZ, LAURA E",122084,"Brain and Cognitive Sciences, Department of","TENENBAUM, JOSHUA B",108215,3,0,0,0,0,0,0
"Brain and Cognitive Sciences, Department of","WILSON, MATTHEW A",129535,"Brain and Cognitive Sciences, Department of","BOYDEN, EDWARD",12578,1,0,0,0,0,0,0
"Brain and Cognitive Sciences, Department of","WILSON, MATTHEW A",129535,"Brain and Cognitive Sciences, Department of","BROWN, EMERY NEAL",176268,1,0,0,0,0,0,0
"Brain and Cognitive Sciences, Department of","GABRIELI, JOHN D. E",140613,"Brain and Cognitive Sciences, Department of","SINHA, PAWAN",176368,2,0,0,0,0,0,0
"Brain and Cognitive Sciences, Department of","NEDIVI, ELLY",158035,"Brain and Cognitive Sciences, Department of","CHUNG, KWANGHUN",627127,2,0,0,0,0,0,0
"Brain and Cognitive Sciences, Department of","NEDIVI, ELLY",158035,"Brain and Cognitive Sciences, Department of","FENG, GUOPING",412326,1,0,0,0,0,0,0
"Brain and Cognitive Sciences, Department of","NEDIVI, ELLY",158035,"Biological Engineering, Department of","SO, PETER T. C",14958,1,0,0,1,3,1,0
"Brain and Cognitive Sciences, Department of","NEDIVI, ELLY",158035,"Biology, Department of","WEISSBOURD, BRANDON",1631690,0,0,0,1,0,0,0
"Brain and Cognitive Sciences, Department of","SLOTINE, JEAN-JACQUES E",166205,"Institute for Data, Systems, and Society (IDSS)","AZIZAN RUHI, NAVID",1351836,1,0,0,1,0,0,0
"Brain and Cognitive Sciences, Department of","SLOTINE, JEAN-JACQUES E",166205,"Aeronautics and Astronautics, Department of","FAN, CHUCHU",1108336,0,0,0,1,0,0,0
"Brain and Cognitive Sciences, Department of","SLOTINE, JEAN-JACQUES E",166205,"Aeronautics and Astronautics, Department of","HOW, JONATHAN P",48280,1,0,0,0,0,0,0
"Brain and Cognitive Sciences, Department of","SLOTINE, JEAN-JACQUES E",166205,"Mechanical Engineering, Department of","KIM, SANGBAE",288319,0,0,0,1,0,0,0
"Brain and Cognitive Sciences, Department of","SLOTINE, JEAN-JACQUES E",166205,"Brain and Cognitive Sciences, Department of","MILLER, EARL K",176365,1,0,0,0,0,0,0
"Brain and Cognitive Sciences, Department of","TONEGAWA, SUSUMU",169218,"Brain and Cognitive Sciences, Department of","CHUNG, KWANGHUN",627127,1,0,0,0,0,0,0
"Brain and Cognitive Sciences, Department of","BROWN, EMERY NEAL",176268,"Brain and Cognitive Sciences, Department of","ANIKEEVA, POLINA OLEGOVNA",488093,1,0,0,0,0,0,0
"Brain and Cognitive Sciences, Department of","BROWN, EMERY NEAL",176268,"Brain and Cognitive Sciences, Department of","BOYDEN, EDWARD",12578,2,0,0,0,0,0,1
"Brain and Cognitive Sciences, Department of","BROWN, EMERY NEAL",176268,"Electrical Engineering and Computer Sciences, Department of","DAHLEH, MUNTHER A",26320,0,0,0,1,0,0,0
"Brain and Cognitive Sciences, Department of","BROWN, EMERY NEAL",176268,"Brain and Cognitive Sciences, Department of","FIETE, ILA R",34519,1,0,0,0,0,0,0
"Brain and Cognitive Sciences, Department of","BROWN, EMERY NEAL",176268,"Electrical Engineering and Computer Sciences, Department of","GRAY, MARTHA L",39725,1,0,0,0,1,0,0
"Brain and Cognitive Sciences, Department of","BROWN, EMERY NEAL",176268,"Electrical Engineering and Computer Sciences, Department of","HELDT, THOMAS",627137,1,0,0,0,0,0,0
"Brain and Cognitive Sciences, Department of","BROWN, EMERY NEAL",176268,"Electrical Engineering and Computer Sciences, Department of","LEWIS, LAURA D",938145,1,0,0,0,0,1,0
"Brain and Cognitive Sciences, Department of","BROWN, EMERY NEAL",176268,"Brain and Cognitive Sciences, Department of","MILLER, EARL K",176365,9,0,0,0,1,0,0
"Brain and Cognitive Sciences, Department of","BROWN, EMERY NEAL",176268,"Brain and Cognitive Sciences, Department of","TSAI, LI-HUEI",176373,2,0,0,0,0,4,1
"Brain and Cognitive Sciences, Department of","BROWN, EMERY NEAL",176268,"Brain and Cognitive Sciences, Department of","WILSON, MATTHEW A",129535,1,0,0,0,0,0,0
"Brain and Cognitive Sciences, Department of","DICARLO, JAMES",176354,"Brain and Cognitive Sciences, Department of","FEDORENKO, EVELINA G",816039,1,0,0,0,0,0,0
"Brain and Cognitive Sciences, Department of","DICARLO, JAMES",176354,"Brain and Cognitive Sciences, Department of","KANWISHER, NANCY",57328,4,0,0,1,1,0,0
"Brain and Cognitive Sciences, Department of","DICARLO, JAMES",176354,"Brain and Cognitive Sciences, Department of","MCDERMOTT, JOSHUA HARTMAN",627126,0,0,0,1,0,0,0
"Brain and Cognitive Sciences, Department of","DICARLO, JAMES",176354,"Brain and Cognitive Sciences, Department of","TENENBAUM, JOSHUA B",108215,0,0,0,1,1,0,0
"Brain and Cognitive Sciences, Department of","DICARLO, JAMES",176354,"Electrical Engineering and Computer Sciences, Department of","TORRALBA, ANTONIO",169255,1,0,0,1,0,0,0
"Brain and Cognitive Sciences, Department of","DESIMONE, ROBERT",176355,"Brain and Cognitive Sciences, Department of","MILLER, EARL K",176365,1,0,0,0,0,0,0
"Brain and Cognitive Sciences, Department of","GRAYBIEL, ANN M",176361,"Materials Science and Engineering, Department of","CIMA, MICHAEL J",20524,1,0,1,1,0,1,0
"Brain and Cognitive Sciences, Department of","GRAYBIEL, ANN M",176361,"Brain and Cognitive Sciences, Department of","HEIMAN, MYRIAM",488070,1,0,0,0,0,0,0
"Brain and Cognitive Sciences, Department of","GRAYBIEL, ANN M",176361,"Biology, Department of","HOUSMAN, DAVID E",48264,2,0,0,0,0,0,0
"Brain and Cognitive Sciences, Department of","GRAYBIEL, ANN M",176361,"Electrical Engineering and Computer Sciences, Department of","KELLIS, MANOLIS",53694,1,0,0,0,0,0,0
"Brain and Cognitive Sciences, Department of","GRAYBIEL, ANN M",176361,"Brain and Cognitive Sciences, Department of","SUR, MRIGANKA",176367,1,0,0,0,0,0,0
