Unit,Unit Scholar,Unit Scholar ID,Collab Unit,Collab Scholar,Collab Scholar ID,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
"Media Arts and Sciences, Program in","MAES, PATRICIA",96199,"Media Arts and Sciences, Program in","ESVELT, KEVIN MICHAEL",827651,1,0,0,0,0,0,0
"Media Arts and Sciences, Program in","MAES, PATRICIA",96199,"Media Arts and Sciences, Program in","ISHII, HIROSHI",49899,0,0,0,5,0,0,0
"Media Arts and Sciences, Program in","MAES, PATRICIA",96199,"Media Arts and Sciences, Program in","JACOBSON, JOSEPH",288062,0,0,0,1,0,0,0
"Media Arts and Sciences, Program in","MAES, PATRICIA",96199,"Media Arts and Sciences, Program in","LIPPMAN, ANDREW B",176632,0,0,0,1,0,0,0
"Media Arts and Sciences, Program in","MAES, PATRICIA",96199,"Media Arts and Sciences, Program in","PARADISO, JOSEPH A",159574,1,0,0,2,0,0,0
"Media Arts and Sciences, Program in","MAES, PATRICIA",96199,"Media Arts and Sciences, Program in","PICARD, ROSALIND W",76748,3,0,0,0,0,0,0
"Media Arts and Sciences, Program in","ROY, DEB K",99490,"Media Arts and Sciences, Program in","BREAZEAL, CYNTHIA LYNN",12743,0,0,0,1,0,0,0
"Media Arts and Sciences, Program in","ROY, DEB K",99490,"Electrical Engineering and Computer Sciences, Department of","KIM, YOON",1351835,0,0,0,1,0,0,0
"Media Arts and Sciences, Program in","ROY, DEB K",99490,"Media Arts and Sciences, Program in","PENTLAND, ALEX PAUL",115847,0,0,0,1,0,0,0
"Media Arts and Sciences, Program in","PENTLAND, ALEX PAUL",115847,"Institute for Data, Systems, and Society (IDSS)","ALMAATOUQ, ABDULLAH",1084678,1,0,0,0,0,0,0
"Media Arts and Sciences, Program in","PENTLAND, ALEX PAUL",115847,"Management, Sloan School of","BAKKER, MICHIEL ANTON",1998910,1,0,0,1,0,0,0
"Media Arts and Sciences, Program in","PENTLAND, ALEX PAUL",115847,"Electrical Engineering and Computer Sciences, Department of","KIM, YOON",1351835,0,0,0,1,0,0,0
"Media Arts and Sciences, Program in","PENTLAND, ALEX PAUL",115847,"Media Arts and Sciences, Program in","LARSON, KENT",288398,2,0,0,0,0,0,0
