Unit,Unit Scholar,Unit Scholar ID,Collab Scholar,Collab Scholar ID,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
"Aeronautics and Astronautics, Department of","MODIANO, EYTAN H",156907,"CARLONE, LUCA",827382,0,0,0,1,0,0,0
"Aeronautics and Astronautics, Department of","MODIANO, EYTAN H",156907,"KARAMAN, SERTAC",544435,0,0,0,1,0,0,0
"Aeronautics and Astronautics, Department of","WILLIAMS, BRIAN C",172038,"FAN, CHUCHU",1108336,1,0,0,1,0,0,0
"Aeronautics and Astronautics, Department of","TAN, CHOON S",175834,"BARRETT, STEVEN R. H",412239,4,0,0,3,0,0,0
"Aeronautics and Astronautics, Department of","TAN, CHOON S",175834,"FOLK, MARIA",1997378,1,0,0,1,0,0,0
"Aeronautics and Astronautics, Department of","TAN, CHOON S",175834,"GREITZER, EDWARD M",41860,3,0,0,3,0,0,0
"Aeronautics and Astronautics, Department of","TAN, CHOON S",175834,"SPETH, RAYMOND L",940145,4,0,0,3,0,0,0
"Aeronautics and Astronautics, Department of","MARZOUK, YOUSSEF M",288611,"LOZANO, PAULO C",70895,1,0,0,0,0,0,0
"Aeronautics and Astronautics, Department of","PERAIRE, JAIME",288941,"GUERRA GARCIA, CARMEN",827383,0,0,0,1,0,2,0
"Aeronautics and Astronautics, Department of","PERAIRE, JAIME",288941,"HARRIS, WESLEY L",45488,1,0,0,0,0,0,0
"Aeronautics and Astronautics, Department of","PERAIRE, JAIME",288941,"LINARES, RICHARD",779767,0,0,0,0,1,0,0
"Aeronautics and Astronautics, Department of","PERAIRE, JAIME",288941,"MARTINEZ-SANCHEZ, MANUEL",155067,0,0,0,0,0,2,0
"Aeronautics and Astronautics, Department of","PERAIRE, JAIME",288941,"NGUYEN, NGOC CUONG",1769725,17,0,0,5,0,0,0
"Aeronautics and Astronautics, Department of","BARRETT, STEVEN R. H",412239,"KARAMAN, SERTAC",544435,1,0,0,0,0,0,0
"Aeronautics and Astronautics, Department of","BARRETT, STEVEN R. H",412239,"SPETH, RAYMOND L",940145,18,0,0,4,1,0,0
"Aeronautics and Astronautics, Department of","BARRETT, STEVEN R. H",412239,"TAN, CHOON S",175834,4,0,0,3,0,0,0
"Aeronautics and Astronautics, Department of","BARRETT, STEVEN R. H",412239,"WAITZ, IAN A",93146,1,0,0,0,0,0,0
