Unit,Unit Scholar,Unit Scholar ID,Collab Institution,Collab Scholar,Collab Scholar ID,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
"Physical Oceanography, Department of","BOWER, AMY",287149,University of Miami,"SHAY, LYNN KEITH",345995,0,0,0,2,0,0,0
"Physical Oceanography, Department of","CENEDESE, CLAUDIA",287266,Emory University,"BURTON, JUSTIN C",586377,1,0,0,0,0,0,0
"Physical Oceanography, Department of","CENEDESE, CLAUDIA",287266,Harvard University,"STRANEO, FIAMMETTA",289444,1,0,0,0,0,0,0
"Physical Oceanography, Department of","CENEDESE, CLAUDIA",287266,Massachusetts Institute of Technology,"PEACOCK, THOMAS",115546,1,0,0,0,0,0,0
"Physical Oceanography, Department of","CENEDESE, CLAUDIA",287266,Massachusetts Institute of Technology,"ZHANG, WEIFENG",488120,1,0,0,0,1,0,0
"Physical Oceanography, Department of","CENEDESE, CLAUDIA",287266,Stanford University,"GORLE, CATHERINE",629088,1,0,0,0,0,0,0
"Physical Oceanography, Department of","CENEDESE, CLAUDIA",287266,"University of California, Santa Barbara","MEIBURG, ECKART H",78064,1,0,0,0,0,0,0
"Physical Oceanography, Department of","CENEDESE, CLAUDIA",287266,University of Colorado Boulder,"VRIEND, NATHALIE MARIA",1347530,1,0,0,0,0,0,0
"Physical Oceanography, Department of","CENEDESE, CLAUDIA",287266,"University of Utah, The","GOLDEN, KENNETH M",38082,1,0,0,0,0,0,0
"Physical Oceanography, Department of","CHEN, KE",836179,Massachusetts Institute of Technology,"ANDRES, MAGDALENA",488108,0,0,0,0,1,0,0
"Physical Oceanography, Department of","CHEN, KE",836179,Massachusetts Institute of Technology,"GAWARKIEWICZ, GLEN",370199,2,0,0,0,1,0,0
"Physical Oceanography, Department of","CHEN, KE",836179,Massachusetts Institute of Technology,"KWON, YOUNG-OH",288380,2,0,0,0,0,0,0
"Physical Oceanography, Department of","CHEN, KE",836179,Massachusetts Institute of Technology,"LLOPIZ, JOEL",779097,1,0,0,0,1,0,0
"Physical Oceanography, Department of","CHEN, KE",836179,Massachusetts Institute of Technology,"PRATT, LAWRENCE",289006,0,0,0,0,1,0,0
"Physical Oceanography, Department of","CHEN, KE",836179,Massachusetts Institute of Technology,"RYPINA, IRINA",544626,1,0,0,0,1,0,0
"Physical Oceanography, Department of","CHEN, KE",836179,Massachusetts Institute of Technology,"SEO, HYODAE",544627,1,0,0,0,0,0,0
"Physical Oceanography, Department of","CHEN, KE",836179,Massachusetts Institute of Technology,"YANG, JIAYAN",370229,3,0,0,0,0,0,0
"Physical Oceanography, Department of","CHEN, KE",836179,University of North Carolina at Chapel Hill,"NYE, JANET ASHLEY",551189,1,0,0,0,0,0,0
"Physical Oceanography, Department of","CLAYSON, CAROL ANNE",488110,"College of William & Mary, The","GONG, DONGLAI",512323,1,0,0,0,0,0,0
"Physical Oceanography, Department of","CLAYSON, CAROL ANNE",488110,Florida State University,"BOURASSA, MARK A",11286,1,0,0,0,0,0,0
"Physical Oceanography, Department of","CLAYSON, CAROL ANNE",488110,Florida State University,"PARFITT, RHYS",1101050,1,0,0,0,0,0,0
"Physical Oceanography, Department of","CLAYSON, CAROL ANNE",488110,Massachusetts Institute of Technology,"EDSON, JAMES",208562,4,0,0,0,1,0,0
"Physical Oceanography, Department of","CLAYSON, CAROL ANNE",488110,Massachusetts Institute of Technology,"SEO, HYODAE",544627,3,0,0,0,1,0,0
"Physical Oceanography, Department of","CLAYSON, CAROL ANNE",488110,Massachusetts Institute of Technology,"SMITH NEWELL, MADISON",1806568,1,0,0,0,0,0,0
"Physical Oceanography, Department of","CLAYSON, CAROL ANNE",488110,Massachusetts Institute of Technology,"YU, LISAN",370230,1,0,0,0,0,0,0
"Physical Oceanography, Department of","CLAYSON, CAROL ANNE",488110,Oregon State University,"SHROYER, EMILY LYNN",510207,1,0,0,0,0,0,0
"Physical Oceanography, Department of","CLAYSON, CAROL ANNE",488110,Texas A&M Corpus Christi,"SHINODA, TOSHIAKI",547030,1,0,0,0,0,0,0
"Physical Oceanography, Department of","CLAYSON, CAROL ANNE",488110,"University of California, San Diego","GILLE, SARAH T",206476,2,0,0,0,0,0,0
"Physical Oceanography, Department of","CLAYSON, CAROL ANNE",488110,University of Colorado Boulder,"SUBRAMANIAN, ANEESH CHAMAKUZHI",1025479,1,0,0,0,0,0,0
"Physical Oceanography, Department of","CLAYSON, CAROL ANNE",488110,University of New Hampshire,"VANDEMARK, DOUGLAS C",303128,1,0,0,0,0,0,0
"Physical Oceanography, Department of","CLAYSON, CAROL ANNE",488110,University of Rhode Island,"PALTER, JAIME B",762476,1,0,0,0,0,0,0
"Physical Oceanography, Department of","CLAYSON, CAROL ANNE",488110,University of South Florida,"MULLER-KARGER, FRANK E",109538,1,0,0,0,0,0,0
"Physical Oceanography, Department of","COLE, SYLVIA",837859,Massachusetts Institute of Technology,"PEACOCK, THOMAS",115546,1,0,0,0,0,0,0
"Physical Oceanography, Department of","COLE, SYLVIA",837859,Massachusetts Institute of Technology,"TOOLE, JOHN",289558,3,0,0,0,1,0,0
"Physical Oceanography, Department of","COLE, SYLVIA",837859,Naval Postgraduate School,"MASLOWSKI, WIESLAW",155115,2,0,0,0,0,0,0
"Physical Oceanography, Department of","COLE, SYLVIA",837859,Naval Postgraduate School,"SHAW, WILLIAM",165330,1,0,0,0,0,0,0
"Physical Oceanography, Department of","COLE, SYLVIA",837859,Oregon State University,"HUTCHINGS, JENNIFER K",602361,1,0,0,0,0,0,0
"Physical Oceanography, Department of","COLE, SYLVIA",837859,"University of California, San Diego","ALFORD, MATTHEW H",630026,1,0,0,0,0,0,0
"Physical Oceanography, Department of","COLE, SYLVIA",837859,"University of California, San Diego","MACKINNON, JENNIFER A",408194,1,0,0,0,0,0,0
