Unit,Unit Scholar,Unit Scholar ID,Collab Unit,Collab Scholar,Collab Scholar ID,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
"Civil and Environmental Engineering, Department of","JAILLET, PATRICK",148653,"Management, Sloan School of","JACQUILLAT, ALEXANDRE",786101,1,0,0,0,0,0,0
"Civil and Environmental Engineering, Department of","JAILLET, PATRICK",148653,"Management, Sloan School of","TRICHAKIS, NIKOS",393251,1,0,0,0,0,0,0
"Civil and Environmental Engineering, Department of","ALM, ERIC J",176231,"Earth, Atmospheric and Planetary Sciences, Department of","BOSAK, TANJA",176228,0,0,0,0,1,0,0
"Civil and Environmental Engineering, Department of","ALM, ERIC J",176231,"Biological Engineering, Department of","DEDON, PETER C",25472,0,0,0,0,1,0,0
"Civil and Environmental Engineering, Department of","ALM, ERIC J",176231,"Urban Studies and Planning, Department of","DUARTE DE ARAUJO SILVA, FABIO",1108314,1,0,0,0,0,0,0
"Civil and Environmental Engineering, Department of","ALM, ERIC J",176231,"Earth, Atmospheric and Planetary Sciences, Department of","FOURNIER, GREGORY P",779073,0,0,0,0,1,0,0
"Civil and Environmental Engineering, Department of","ALM, ERIC J",176231,"Biological Engineering, Department of","GRIFFITH, LINDA G",144921,1,0,0,0,0,0,0
"Civil and Environmental Engineering, Department of","ALM, ERIC J",176231,"Chemistry, Department of","KIESSLING, LAURA L",60109,1,0,0,0,0,0,0
"Civil and Environmental Engineering, Department of","ALM, ERIC J",176231,"Marine Chemistry and Geochemistry, Department of","KUJAWINSKI, ELIZABETH",288370,1,0,0,0,0,0,0
"Civil and Environmental Engineering, Department of","ALM, ERIC J",176231,"Civil and Environmental Engineering, Department of","LIEBERMAN, TAMI DANIELLE",827385,1,0,0,0,0,0,0
"Civil and Environmental Engineering, Department of","ALM, ERIC J",176231,"Earth, Atmospheric and Planetary Sciences, Department of","ROTHMAN, DANIEL H",120692,0,0,0,0,1,0,0
"Civil and Environmental Engineering, Department of","ALM, ERIC J",176231,"Civil and Environmental Engineering, Department of","SAAVEDRA SANCHEZ, SERGUEI",825731,1,0,0,0,0,0,0
"Civil and Environmental Engineering, Department of","ALM, ERIC J",176231,"Earth, Atmospheric and Planetary Sciences, Department of","SUMMONS, ROGER E",176494,1,0,0,0,0,0,0
"Civil and Environmental Engineering, Department of","ALM, ERIC J",176231,"Mechanical Engineering, Department of","TRUMPER, DAVID L",109735,1,0,0,0,0,0,0
"Civil and Environmental Engineering, Department of","AMIN, SAURABH",488075,"Civil and Environmental Engineering, Department of","DES MARAIS, DAVID LEE",825730,0,0,0,0,1,0,0
"Civil and Environmental Engineering, Department of","AMIN, SAURABH",488075,"Civil and Environmental Engineering, Department of","ENTEKHABI, DARA",34408,0,0,0,0,1,0,0
"Civil and Environmental Engineering, Department of","AMIN, SAURABH",488075,"Civil and Environmental Engineering, Department of","HARVEY, CHARLES F",43839,0,0,0,1,1,0,0
"Civil and Environmental Engineering, Department of","AMIN, SAURABH",488075,"Civil and Environmental Engineering, Department of","HOWLAND, MICHAEL",1351828,1,0,0,0,0,0,0
"Civil and Environmental Engineering, Department of","AMIN, SAURABH",488075,"Electrical Engineering and Computer Sciences, Department of","ILIC, MARIJA",148301,1,0,0,0,0,0,0
"Civil and Environmental Engineering, Department of","AMIN, SAURABH",488075,"Civil and Environmental Engineering, Department of","JAILLET, PATRICK",148653,1,0,0,2,0,0,0
"Civil and Environmental Engineering, Department of","AMIN, SAURABH",488075,"Electrical Engineering and Computer Sciences, Department of","OZDAGLAR, ASUMAN E",159339,1,0,0,0,0,0,0
"Civil and Environmental Engineering, Department of","ZHAO, JINHUA",627170,"Urban Studies and Planning, Department of","JACKSON, JASON BERTROY",827703,1,0,0,0,0,0,0
"Civil and Environmental Engineering, Department of","ZHAO, JINHUA",627170,"Urban Studies and Planning, Department of","SANTI, PAOLO",1108315,1,0,0,0,0,0,0
"Civil and Environmental Engineering, Department of","ZHAO, JINHUA",627170,"Mechanical Engineering, Department of","SARMA, SANJAY E",121468,1,0,0,0,0,0,0
