Unit,Unit Scholar,Unit Scholar ID,Collab Unit,Collab Scholar,Collab Scholar ID,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
"Geology and Geophysics, Department of","GERMAN, CHRISTOPHER",287800,"Geology and Geophysics, Department of","COLLINS, JOHN",544616,0,0,0,0,1,0,0
"Geology and Geophysics, Department of","GERMAN, CHRISTOPHER",287800,"Geology and Geophysics, Department of","COSTA, KASSANDRA",1304703,1,0,0,0,0,0,0
"Geology and Geophysics, Department of","GERMAN, CHRISTOPHER",287800,"Geology and Geophysics, Department of","EDGCOMB, VIRGINIA",544617,2,0,0,0,0,0,0
"Geology and Geophysics, Department of","GERMAN, CHRISTOPHER",287800,"Applied Ocean Physics and Engineering, Department of","FREITAG, LEE",826240,0,0,0,0,1,0,0
"Geology and Geophysics, Department of","GERMAN, CHRISTOPHER",287800,"Physical Oceanography, Department of","GEBBIE, GEOFFREY",544619,1,0,0,0,0,0,0
"Geology and Geophysics, Department of","GERMAN, CHRISTOPHER",287800,"Marine Chemistry and Geochemistry, Department of","HORNER, TRISTAN",837849,1,0,0,0,0,0,0
"Geology and Geophysics, Department of","GERMAN, CHRISTOPHER",287800,"Marine Chemistry and Geochemistry, Department of","HUBER, JULIE ADRIENNE",645272,6,0,0,0,0,0,0
"Geology and Geophysics, Department of","GERMAN, CHRISTOPHER",287800,"Earth, Atmospheric and Planetary Sciences, Department of","KANG, WANYING",1631695,1,0,0,0,0,0,0
"Geology and Geophysics, Department of","GERMAN, CHRISTOPHER",287800,"Geology and Geophysics, Department of","LANG, SUSAN",779348,2,0,0,0,0,0,0
"Geology and Geophysics, Department of","GERMAN, CHRISTOPHER",287800,"Marine Chemistry and Geochemistry, Department of","LOTT, DEMPSEY",2157272,1,0,0,0,0,0,0
"Geology and Geophysics, Department of","GERMAN, CHRISTOPHER",287800,"Earth, Atmospheric and Planetary Sciences, Department of","MARSHALL, JOHN C",176483,2,0,0,0,0,0,0
"Geology and Geophysics, Department of","GERMAN, CHRISTOPHER",287800,"Geology and Geophysics, Department of","NIELSEN, SUNE",488118,1,0,0,0,1,0,0
"Geology and Geophysics, Department of","GERMAN, CHRISTOPHER",287800,"Biology (WHOI), Department of","PACHIADAKI, MARIA G",919201,2,0,0,0,0,0,0
"Geology and Geophysics, Department of","GERMAN, CHRISTOPHER",287800,"Marine Chemistry and Geochemistry, Department of","SAITO, MAKOTO",289220,2,0,0,0,0,0,0
"Geology and Geophysics, Department of","GERMAN, CHRISTOPHER",287800,"Marine Chemistry and Geochemistry, Department of","SEEWALD, JEFFREY",289279,5,0,0,1,2,0,0
"Geology and Geophysics, Department of","GERMAN, CHRISTOPHER",287800,"Marine Chemistry and Geochemistry, Department of","SELTZER, ALAN",1584403,2,0,0,0,0,0,0
"Geology and Geophysics, Department of","GERMAN, CHRISTOPHER",287800,"Applied Ocean Physics and Engineering, Department of","YOERGER, DANA",289778,1,0,0,0,0,0,0
