Unit,Unit Scholar,Unit Scholar ID,Collab Institution,Collab Scholar,Collab Scholar ID,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
"Geology and Geophysics, Department of","CANALES, JUAN PABLO",287223,University of Hawai'i - Manoa,"DUNN, ROBERT A",32293,1,0,0,0,0,0,0
"Geology and Geophysics, Department of","CANALES, JUAN PABLO",287223,University of Washington,"TOBIN, HAROLD J",90045,1,0,0,0,0,0,0
"Geology and Geophysics, Department of","COHEN, ANNE",287363,Massachusetts Institute of Technology,"APPRILL, AMY",488109,1,0,0,0,0,0,0
"Geology and Geophysics, Department of","COHEN, ANNE",287363,Massachusetts Institute of Technology,"DONNELLY, JEFFREY",287561,0,0,0,0,1,0,0
"Geology and Geophysics, Department of","COHEN, ANNE",287363,Massachusetts Institute of Technology,"HANSEL, COLLEEN",544620,1,0,0,0,0,0,0
"Geology and Geophysics, Department of","COHEN, ANNE",287363,Massachusetts Institute of Technology,"HORTON, FORREST",919209,2,0,0,0,1,0,0
"Geology and Geophysics, Department of","COHEN, ANNE",287363,Massachusetts Institute of Technology,"MCGEE, WILLIAM DAVID",544463,1,0,0,0,0,0,0
"Geology and Geophysics, Department of","COHEN, ANNE",287363,Massachusetts Institute of Technology,"MEYER-KAISER, KIRSTIN",1108288,1,0,0,0,0,0,0
"Geology and Geophysics, Department of","COHEN, ANNE",287363,Massachusetts Institute of Technology,"OPPO, DELIA",288857,2,0,0,0,1,0,0
"Geology and Geophysics, Department of","COHEN, ANNE",287363,Massachusetts Institute of Technology,"THORROLD, SIMON",370187,1,0,0,0,2,0,0
"Geology and Geophysics, Department of","COHEN, ANNE",287363,Massachusetts Institute of Technology,"ZHANG, WEIFENG",488120,0,0,0,0,2,0,0
"Geology and Geophysics, Department of","COHEN, ANNE",287363,Tulane University,"DECARLO, THOMAS M",2146203,1,0,0,0,0,0,0
"Geology and Geophysics, Department of","COHEN, ANNE",287363,"University of California, San Diego","SANDIN, STUART",408196,1,0,0,0,0,0,0
"Geology and Geophysics, Department of","COHEN, ANNE",287363,"University of California, San Diego","SMITH, JENNIFER ELLEN",206519,1,0,0,0,0,0,0
"Geology and Geophysics, Department of","COLLINS, JOHN",544616,Auburn University,"BOSTON, BRIAN B",1819019,1,0,0,0,0,0,0
"Geology and Geophysics, Department of","COLLINS, JOHN",544616,Boston College,"BEHN, MARK",287092,1,0,0,0,1,0,0
"Geology and Geophysics, Department of","COLLINS, JOHN",544616,Brown University,"HIRTH, JAMES",215445,2,0,0,0,0,0,0
"Geology and Geophysics, Department of","COLLINS, JOHN",544616,California Institute of Technology,"KOHLER, MONICA",765864,1,0,0,0,0,0,0
"Geology and Geophysics, Department of","COLLINS, JOHN",544616,Massachusetts Institute of Technology,"CANALES, JUAN PABLO",287223,1,0,0,0,0,0,0
"Geology and Geophysics, Department of","COLLINS, JOHN",544616,Massachusetts Institute of Technology,"EVANS, ROBERT",287680,2,0,0,0,0,0,0
"Geology and Geophysics, Department of","COLLINS, JOHN",544616,Massachusetts Institute of Technology,"GERMAN, CHRISTOPHER",287800,0,0,0,0,1,0,0
"Geology and Geophysics, Department of","COLLINS, JOHN",544616,Massachusetts Institute of Technology,"LIZARRALDE, DANIEL",288497,4,0,0,0,0,0,0
"Geology and Geophysics, Department of","COLLINS, JOHN",544616,Massachusetts Institute of Technology,"MOONEY, T ARAN",544624,2,0,0,0,0,0,0
"Geology and Geophysics, Department of","COLLINS, JOHN",544616,Northern Arizona University,"GAHERTY, JAMES B",867023,2,0,0,0,0,0,0
"Geology and Geophysics, Department of","COLLINS, JOHN",544616,Syracuse University,"JENSEN, FRANTS H",1408438,1,0,0,0,0,0,0
