Unit,Collab Institution,Collab Unit,Collaborators,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
"Urban Studies and Planning, Department of",Temple University,"Art and Architecture, School of",1,0,1,0,0,0,0,0
"Urban Studies and Planning, Department of",Texas A&M University,"Landscape Architecture and Urban Planning, Department of",1,1,0,0,0,0,0,0
"Urban Studies and Planning, Department of",Texas A&M University,"Sociology, Department of",1,1,0,0,0,0,0,0
"Urban Studies and Planning, Department of","University of Montana, Missoula","Geography, Department of",1,1,0,0,0,0,0,0
"Urban Studies and Planning, Department of","University of Montana, Missoula","Society and Conservation, Department of",1,1,0,0,0,0,0,0
"Urban Studies and Planning, Department of","University of Tennessee, The","Geography and Sustainability, Department of",1,1,0,0,0,0,0,0
"Urban Studies and Planning, Department of","University of Texas at Austin, The","Geography and the Environment, Department of",1,3,0,0,0,0,0,0
"Urban Studies and Planning, Department of","University of Texas at Austin, The","Information, Risk, and Operations Management, Department of",1,1,0,0,0,0,0,0
"Urban Studies and Planning, Department of",Tufts University,"Civil and Environmental Engineering, Department of",2,3,0,0,0,0,0,0
"Urban Studies and Planning, Department of",Tufts University,"Urban and Environmental Policy and Planning, Department of",1,1,0,0,0,0,0,0
"Urban Studies and Planning, Department of",Tulane University,"Architecture, School of",2,1,1,0,0,0,0,0
"Urban Studies and Planning, Department of",Tulane University,"Political Science, Department of",1,1,0,0,0,0,0,0
"Urban Studies and Planning, Department of","University of Alabama, The","Civil, Construction and Environmental Engineering, Department of",1,0,0,1,0,0,0,0
"Urban Studies and Planning, Department of","University of Alabama, The","Curriculum and Instruction, Department of",1,1,0,0,0,0,0,0
"Urban Studies and Planning, Department of","University of California, Berkeley","City and Regional Planning, Department of",1,1,1,0,0,0,0,0
"Urban Studies and Planning, Department of","University of California, Berkeley","Civil and Environmental Engineering, Department of",2,2,0,0,0,0,0,0
"Urban Studies and Planning, Department of","University of California, Davis","Public Health Sciences, Department of",1,2,0,0,0,0,0,0
"Urban Studies and Planning, Department of","University of California, Los Angeles","Urban Planning, Department of",1,1,0,0,0,0,0,0
"Urban Studies and Planning, Department of","University of California, San Diego","Urban Studies and Planning, Department of",1,3,0,0,0,0,0,0
"Urban Studies and Planning, Department of","University of Chicago, The","Ecology and Evolution, Department of",1,1,0,0,0,0,0,0
"Urban Studies and Planning, Department of","University of Chicago, The","Sociology, Department of",1,1,0,0,0,0,0,0
"Urban Studies and Planning, Department of",University of Colorado Boulder,"Electrical, Computer, and Energy Engineering, Department of",1,1,0,0,0,0,0,0
"Urban Studies and Planning, Department of",University of Colorado Boulder,"Environmental Studies, Program in",1,1,0,0,0,0,0,0
"Urban Studies and Planning, Department of",University of Colorado Denver,"Urban and Regional Planning, Department of",3,8,0,0,0,0,0,0
"Urban Studies and Planning, Department of",University of Connecticut,"Finance, Department of",1,3,0,0,0,0,0,0
"Urban Studies and Planning, Department of",University of Connecticut,"Statistics, Department of",1,1,0,0,0,0,0,0
"Urban Studies and Planning, Department of",University of Delaware,"Art History, Department of",1,1,0,0,0,0,0,0
"Urban Studies and Planning, Department of",University of Delaware,"Africana Studies, Department of",1,1,0,0,0,0,0,0
"Urban Studies and Planning, Department of",University of Florida,"Electrical and Computer Engineering, Department of",1,0,0,0,1,0,0,0
"Urban Studies and Planning, Department of",University of Florida,"Urban and Regional Planning, School of",1,16,0,0,3,0,0,0
"Urban Studies and Planning, Department of",University of Georgia,"Geography, Department of",1,2,0,0,0,0,0,0
"Urban Studies and Planning, Department of",University of Illinois Chicago,"Computer Science, Department of",1,1,0,0,1,0,0,0
"Urban Studies and Planning, Department of",University of Illinois Chicago,"Disability and Human Development, Department of",1,0,0,0,1,0,0,0
"Urban Studies and Planning, Department of",University of Illinois at Urbana-Champaign,"Business Administration, Department of",1,4,0,0,0,0,0,0
"Urban Studies and Planning, Department of",University of Illinois at Urbana-Champaign,"Urban and Regional Planning, Department of",2,4,0,0,0,0,0,0
"Urban Studies and Planning, Department of","University of Kansas, The","Public Affairs and Administration, School of",1,1,0,0,0,0,0,0
"Urban Studies and Planning, Department of","University of Maryland, College Park","Civil and Environmental Engineering, Department of",1,1,0,0,0,0,0,0
"Urban Studies and Planning, Department of",University of Massachusetts Amherst,"Landscape Architecture and Regional Planning, Department of",1,1,0,0,0,0,0,0
"Urban Studies and Planning, Department of",University of Massachusetts Amherst,"Public Policy, School of",1,1,0,0,0,0,0,0
"Urban Studies and Planning, Department of",University of Massachusetts Boston,"Psychology, Department of",1,2,0,0,0,0,0,0
"Urban Studies and Planning, Department of",University of Michigan,"Civil and Environmental Engineering, Department of",1,1,0,0,0,0,0,0
"Urban Studies and Planning, Department of",University of Michigan,"Health Behavior and Health Education, Department of",1,1,0,0,0,0,0,0
"Urban Studies and Planning, Department of",University of Michigan,"Nuclear Engineering and Radiological Sciences, Department of",1,2,0,0,3,0,0,0
"Urban Studies and Planning, Department of",University of Michigan,"Environment and Sustainability, School for",1,1,0,1,0,0,0,0
"Urban Studies and Planning, Department of","University of Minnesota, Twin Cities","Mechanical Engineering, Department of",1,1,0,0,0,0,0,0
"Urban Studies and Planning, Department of","University of Minnesota, Twin Cities","Public Affairs, School of",1,2,0,0,0,0,0,0
"Urban Studies and Planning, Department of",University of North Carolina at Chapel Hill,"City and Regional Planning, Department of",1,2,0,0,0,0,0,0
"Urban Studies and Planning, Department of",University of North Carolina at Chapel Hill,"Health Policy and Management, Department of",1,1,0,0,0,0,0,0
"Urban Studies and Planning, Department of",University of North Carolina at Chapel Hill,"Public Policy, Department of",1,1,0,0,0,0,0,0
"Urban Studies and Planning, Department of",University of Oklahoma,"Geography and Environmental Sustainability, Department of",1,2,0,0,0,0,0,0
"Urban Studies and Planning, Department of",University of Pennsylvania,"City and Regional Planning, Department of",1,2,0,0,0,0,0,0
"Urban Studies and Planning, Department of",University of Pennsylvania,"Real Estate, Department of",1,1,0,0,0,0,0,0
"Urban Studies and Planning, Department of",University of Pennsylvania,"Medical Ethics and Health Policy, Department of",1,1,0,0,0,0,0,0
"Urban Studies and Planning, Department of",University of Pittsburgh,"Public and International Affairs, Graduate School of",1,1,0,0,0,0,0,0
"Urban Studies and Planning, Department of",University of San Diego,"Art, Architecture and Art History, Department of",1,1,0,0,0,0,0,0
"Urban Studies and Planning, Department of",University of Southern California,"Economics, Department of",1,3,3,1,0,0,0,0
