Unit,Unit Scholar,Unit Scholar ID,Collab Institution,Collab Scholar,Collab Scholar ID,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
"Urban Studies and Planning, Department of","D'IGNAZIO, CATHERINE S",1304710,Massachusetts Institute of Technology,"HARRIEL, HOLLY",1977481,0,0,0,1,0,0,0
"Urban Studies and Planning, Department of","D'IGNAZIO, CATHERINE S",1304710,Massachusetts Institute of Technology,"HOSOI, ANETTE E",50247,0,0,0,2,0,0,0
"Urban Studies and Planning, Department of","D'IGNAZIO, CATHERINE S",1304710,Massachusetts Institute of Technology,"WENDEL, DELIA",856147,0,0,0,1,0,0,0
"Urban Studies and Planning, Department of","D'IGNAZIO, CATHERINE S",1304710,Massachusetts Institute of Technology,"YANG, MARIA",100078,1,0,0,2,0,0,0
"Urban Studies and Planning, Department of","D'IGNAZIO, CATHERINE S",1304710,Northeastern University,"BHARGAVA, RAHUL",1154097,2,0,0,3,0,0,0
"Urban Studies and Planning, Department of","D'IGNAZIO, CATHERINE S",1304710,Northeastern University,"WELLES, BROOKE FOUCAULT",601412,1,0,0,1,0,0,0
"Urban Studies and Planning, Department of","D'IGNAZIO, CATHERINE S",1304710,Purdue University,"KOUVARAS OSTROWSKI, ANASTASIA KATHARINE",2154615,2,0,0,3,0,0,0
"Urban Studies and Planning, Department of","D'IGNAZIO, CATHERINE S",1304710,Stanford University,"LEE, VICTOR R",87739,1,0,0,0,0,0,0
"Urban Studies and Planning, Department of","D'IGNAZIO, CATHERINE S",1304710,"University of Alabama, The","PIMENTEL, DANIEL ROBERT",1927204,1,0,0,0,0,0,0
"Urban Studies and Planning, Department of","D'IGNAZIO, CATHERINE S",1304710,University of Massachusetts Amherst,"ZUCKERMAN, ETHAN ROBERT",1271702,1,0,0,0,0,0,0
"Urban Studies and Planning, Department of","D'IGNAZIO, CATHERINE S",1304710,University of Michigan,"VERMA, ADITI",1731458,2,0,0,3,0,0,0
"Urban Studies and Planning, Department of","DUARTE DE ARAUJO SILVA, FABIO",1108314,Boston University,"KINNEY, PATRICK",298875,1,0,0,0,0,0,0
"Urban Studies and Planning, Department of","DUARTE DE ARAUJO SILVA, FABIO",1108314,Brown University,"WALKER, ERICA D",1580092,1,0,0,0,0,0,0
"Urban Studies and Planning, Department of","DUARTE DE ARAUJO SILVA, FABIO",1108314,George Washington University,"ANENBERG, SUSAN C",840845,1,0,0,0,0,0,0
"Urban Studies and Planning, Department of","DUARTE DE ARAUJO SILVA, FABIO",1108314,Massachusetts Institute of Technology,"ALM, ERIC J",176231,1,0,0,0,0,0,0
"Urban Studies and Planning, Department of","DUARTE DE ARAUJO SILVA, FABIO",1108314,Massachusetts Institute of Technology,"BUONGIORNO, JACOPO",14320,1,0,0,0,0,0,0
"Urban Studies and Planning, Department of","DUARTE DE ARAUJO SILVA, FABIO",1108314,Massachusetts Institute of Technology,"FRENCHMAN, DENNIS M",36532,1,0,0,0,0,0,0
"Urban Studies and Planning, Department of","DUARTE DE ARAUJO SILVA, FABIO",1108314,Massachusetts Institute of Technology,"HEMOND, HAROLD F",146587,1,0,0,0,0,0,0
"Urban Studies and Planning, Department of","DUARTE DE ARAUJO SILVA, FABIO",1108314,Massachusetts Institute of Technology,"NORFORD, LESLIE KEITH",86061,1,0,0,0,0,0,0
"Urban Studies and Planning, Department of","DUARTE DE ARAUJO SILVA, FABIO",1108314,Massachusetts Institute of Technology,"RUS, DANIELA L",175959,1,0,0,2,0,0,0
"Urban Studies and Planning, Department of","DUARTE DE ARAUJO SILVA, FABIO",1108314,Massachusetts Institute of Technology,"SANTI, PAOLO",1108315,7,0,0,0,0,0,0
"Urban Studies and Planning, Department of","DUARTE DE ARAUJO SILVA, FABIO",1108314,Massachusetts Institute of Technology,"VALE, LAWRENCE",110700,1,0,0,0,0,0,0
"Urban Studies and Planning, Department of","DUARTE DE ARAUJO SILVA, FABIO",1108314,Massachusetts Institute of Technology,"WHITTLE, ANDREW",96890,1,0,0,0,0,0,0
"Urban Studies and Planning, Department of","DUARTE DE ARAUJO SILVA, FABIO",1108314,Massachusetts Institute of Technology,"ZHENG, SIQI",827702,2,0,0,0,0,0,0
"Urban Studies and Planning, Department of","DUARTE DE ARAUJO SILVA, FABIO",1108314,Stevens Institute of Technology,"ENGLOT, BRENDAN",767130,0,0,0,1,0,0,0
"Urban Studies and Planning, Department of","DUARTE DE ARAUJO SILVA, FABIO",1108314,Tufts University,"DURANT, JOHN L",140515,2,0,0,0,0,0,0
"Urban Studies and Planning, Department of","DUARTE DE ARAUJO SILVA, FABIO",1108314,"University of Chicago, The","BETTENCOURT, LUIS",842384,1,0,0,0,0,0,0
"Urban Studies and Planning, Department of","DUARTE DE ARAUJO SILVA, FABIO",1108314,University of Colorado Denver,"DESOUZA, PRIYANKA",1472589,7,0,0,0,0,0,0
"Urban Studies and Planning, Department of","DUARTE DE ARAUJO SILVA, FABIO",1108314,University of Colorado Denver,"MAKAREWICZ, CARRIE",608001,1,0,0,0,0,0,0
