Unit,Unit Scholar,Unit Scholar ID,Collab Scholar,Collab Scholar ID,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
"Urban Studies and Planning, Department of","D'IGNAZIO, CATHERINE S",1304710,"WENDEL, DELIA",856147,0,0,0,1,0,0,0
"Urban Studies and Planning, Department of","HARRIEL, HOLLY",1977481,"BUNTEN, DEVIN MICHELLE",825082,0,0,0,1,0,0,0
"Urban Studies and Planning, Department of","HARRIEL, HOLLY",1977481,"D'IGNAZIO, CATHERINE S",1304710,0,0,0,1,0,0,0
"Urban Studies and Planning, Department of","HARRIEL, HOLLY",1977481,"WENDEL, DELIA",856147,0,0,0,1,0,0,0
"Urban Studies and Planning, Department of","BACOW, LAWRENCE S",853872,,,,,,,,,
"Urban Studies and Planning, Department of","BEN-JOSEPH, ERAN",8272,,,,,,,,,
"Urban Studies and Planning, Department of","BERGER, ALAN M",176629,,,,,,,,,
"Urban Studies and Planning, Department of","CAROLINI, GABRIELLA",544594,,,,,,,,,
"Urban Studies and Planning, Department of","CLAY, PHILLIP L",19780,,,,,,,,,
"Urban Studies and Planning, Department of","CROCKETT, KARILYN M",1108352,,,,,,,,,
"Urban Studies and Planning, Department of","FOGELSON, ROBERT M",142351,,,,,,,,,
"Urban Studies and Planning, Department of","GELTNER, DAVID M",43440,,,,,,,,,
"Urban Studies and Planning, Department of","GLASMEIER, AMY K",287825,,,,,,,,,
"Urban Studies and Planning, Department of","JAMES, ERICA C",395008,,,,,,,,,
"Urban Studies and Planning, Department of","KNOX, JANELLE K",342515,,,,,,,,,
"Urban Studies and Planning, Department of","LEVINE, JEFFREY ROBERT",2157286,,,,,,,,,
"Urban Studies and Planning, Department of","LIGHT, JENNIFER S",153197,,,,,,,,,
"Urban Studies and Planning, Department of","OCAMPO, MARY ANNE",1584407,,,,,,,,,
"Urban Studies and Planning, Department of","POLENSKE, KAREN R",77036,,,,,,,,,
"Urban Studies and Planning, Department of","RAJAGOPAL, BALAKRISHNAN",118920,,,,,,,,,
"Urban Studies and Planning, Department of","REYNOLDS, ELISABETH BECK",919226,,,,,,,,,
"Urban Studies and Planning, Department of","SAIZ, ALBERT",544595,,,,,,,,,
"Urban Studies and Planning, Department of","SANTOS, ADELE NAUDE",102171,,,,,,,,,
"Urban Studies and Planning, Department of","SANYAL, BISHWAPRIYA",121423,,,,,,,,,
"Urban Studies and Planning, Department of","SPIRN, ANNE WHISTON",124250,,,,,,,,,
"Urban Studies and Planning, Department of","SUSSKIND, LAWRENCE E",168083,,,,,,,,,
"Urban Studies and Planning, Department of","WESCOAT, JAMES",176091,,,,,,,,,
"Urban Studies and Planning, Department of","WILLIAMS, SARAH E",544597,,,,,,,,,
